Original,Translate,Translate_GPT_1
"E per fugire   da terra c’apressando,",Y para huir de la tierra apresurándose,y para escapar de la tierra acelerando
"In quella guisa, c’allor gli è più sana.",haciendo lo que es mejor:,ejecutando lo que es mejor
Così governa mese e settimana,"así que gobierna durante meses y semanas,","Gobernante por largos períodos, aguantando durante meses y semanas."
Insin che ’l mar si va rabonacciando.,Hasta que el mar esté tranquilo.,Hasta que el mar esté tranquilo.
"Così dé far chi d’Amor vuol gioire,",Para hacer lo que el amor quiere regocijarse,Cómo hacer que los que desean regocijarse por el amor
Quand’e’ truova la sua donna diversa:,Cuando encuentra a su mujer diferente,Cuando encuentra a su compañera diferente
"Un’or la dé cacciar, altra fugire.","Ahora tiene que echarla, ahora huir.","Ahora tiene que expulsarla, ahora huir."
"Allor sì•lla vedrà palida, e persa,",Entonces se verá pálida y perdida,Entonces aparecerá desorientada y desorientada.
Ché sie ciertan che le parrà morire,Que esté seguro de que le parecerá que muere.,"Que sea incuestionable, que le parezca que perecerá."
Insin che no•lli cade sotto inversa.,Hasta que ella cae debajo de él,Hasta que ella cae debajo de él.
"Quando fai ad alcuna tua richesta,",cuando hagas ninguna solicitud,Cuando haces tu propia pregunta
"O vechia ch’ella sia, o giovanzella,",Ya sea vieja o joven,Ya sea de edad avanzada o juvenil
"O maritata,   o vedova, o pulzella,","o casada o viuda o virgen,","casada, viuda, soltera."
Sì convien che•lla lingua tua sia presta,le conviene que su idioma esté listo,Se recomienda que tu idioma esté listo.
"A•lle’ lodar suo’ ochi, e bocca, e testa,","para alabar sus ojos, su boca su cabeza,","Para exaltar sus ojos, su boca y su cabeza."
E dir che sotto ’l ciel non l’à più bella:,y decir que bajo el cielo no será la más bella,y decir que bajo el firmamento no será la más hermosa
“Piaciesse a Dio ch’i’ v’avesse in gonella,Si a Dios le gustara que yo te tuviera en la garganta,Si le hubiera gustado a Dios que te hubiera metido en la garganta.
Là ov’io diviserei in mia podesta!”.,¡Ahí donde tendría poder sobre ustedes!,¡Donde tendría autoridad sobre ustedes!
"Così le déi del tutto andar lodando,",Así los dioses del todo tienen que alabarlos.,"Alabad a los dioses por completo, como debéis."
Chéd e’ nonn-è nesuna sì atenpata,Porque ninguna es tan vieja.,¿Por qué nadie es tan vieja?
"Ch’ella   non si diletti in ascoltando,",que ella no se divierte escuchando,que ella no se deleita en escuchar
"E credes’esser più bella   che fata,",Y creyó que era más hermosa que un hada.,Y creyó que era más encantador que un hada.
E ’nmantenente pensa a gir pelando,y constantemente piensa en despellejar,e ininterrumpidamente medita en despellejar
"Colui, che prima tanto l’à lodata.",El que la alabó primero,El que la elogió antes.
"Le giovane, e le vechie, e le mezane","Las jóvenes, las viejas, y de mediana edad -","Jóvenes, ancianos y de mediana edad."
"Son tutte quante a prender sì ’ncarnate,",están todas dispuestas a tomar,Están todas listas para atrapar.
Che nessun puote aver di lor derate,que nadie puede tener su propia mercancía,que nadie puede poseer sus cosas
"Per cortesia, tanto son villane,","Por favor, son villanas.","Por favor, son groseros."
"Ché quelle, che si mostran più humane,",que las que se muestran más humanas,que los que se muestran más compasivos
"E non prendenti, dànno le ghigniate.",Y no te burles de mí.,No te burles.
"Natur’è quella che•lle v’à fatate,",La naturaleza es la que os enseñó.,La naturaleza es la que os ha enseñado
Sì com’ell’à ’fetato a chaccia il cane.,Como le enseñó al perro a cazar.,Exactamente como enseñó al perro a cazar.
"Ver è c’alcuna si mette a donare,","Es cierto que algunos están dispuestos a dar,",Es cierto que algunos están dispuestos a ofrecer.
"Ma ella s’è ben prima proveduta,",Pero sólo si antes se aseguraron,"Sin embargo, sólo si usted está garantizado previamente."
Ch’ella ’l darà in luogo d’adoppiare.,que lo que van a dar volverá a ser doble.,que lo que van a dar volverá a duplicarse.
"I•llor gioelli non son di gran valuta,","Sus joyas no son de gran valor,","Sus joyas no son de gran valor,"
Ma e’ son esca per uccie’ pigliare.,Pero este es el señuelo para atrapar pájaros.,Pero este es el punto de mira para atrapar pájaros.
Guardisi ben chi à corta veduta!,¡Cuidado con el que ha visto corto!,¡Estar alerta a quien haya visto limitada!
"Se quella, chu’ richiedi, ti rifiuta","Si la que deseas te rechaza,","Si la que deseas te rechaza,"
"Tu sì non perdi nulla in su’ scondetto,","no pierdes nada debido a su rechazo,",No hay pérdida debido a su negativa.
"Se non se solo il motto, che•ll’ài detto.",Si no sólo las palabras que le dijiste:,"En lugar de las palabras que dijiste, usa otras expresiones."
Dello scondir sarà tosto pentuta.,Pronto se arrepentirá de su rechazo.,Pronto se sentirá mal por su negativa.
"Una nel ciento non fu mai veduta,",Una de cada cien mujeres nunca ha sido vista.,Una de cada cien mujeres nunca ha sido observada.
"Ed ancor più che ’l miglia’ ci ti metto,","O mejor dicho, apuesto una de cada mil.","Atrevido, reto, apuesto uno por mil."
"Femina, chu’ piaciesse tal disdetto.",Mujer que te gustó ese rechazo.,Mujer que apreciaba tal rechazo
"Come ch’ella t’asalgha di venuta,",Aunque podría atacarte al principio.,Aunque podría atacarte al principio.
"Richié’, c’almen n’avrà’ su’ ben volere,","Richié, al menos nos tendrá su benévolo consentimiento.","Recibirá, al menos nos recibirá con su benevolencia."
"Con tutto ti vad’ella follegiando,","Aunque podría decir cosas absurdas sobre ti,","Aunque podría decir cosas inverosímiles sobre ti,"
Ché•ttu no•le puo’ far magior piaciere.,Porque no puedes hacerle un favor más grande.,Porque no puedes darle un mayor beneficio.
"Ma di ciò non dé gir nessun parlando,","Pero nadie tiene que decir nada al respecto,",Nadie debería hablar de eso.
"S’e’ ’n averla non mette su’ podere,","Si falla en su búsqueda de tenerla,",Si no puede conseguirla.
Chéd ella se ne va dapoi vantando.,¿Por qué más tarde va por ahí jactándose?,¿Por qué va a actuar más tarde?
"E quando tu•ssarai co•llei soletto,","Y cuando estés a solas con ella,","Cuando estés a solas con ella,"
"Prendila tra•lle braccia, e fa ’l sicuro,",Tómala en tus brazos y hazlo con valentía.,Abrázala con ardor y hazlo con audacia.
"Mostrando allor se•ttu•ssè forte e duro,","Mostrando entonces que eres fuerte y duro,",Demostrando entonces tu fuerza y tenacidad.
E mantenente le metti il ganbetto.,e inmediatamente le das el gancho.,Y ahora le ofreces el ancla.
Né no•lla respittar già per su’ detto:,No le des un respiro por lo que dice:,No le des clemencia por lo que dice.
"S’ella chiede   merzé, chegala al muro.","Si pide misericordia, pida en vano.","Si pide clemencia, suplica en vano."
"Tu•lle dirai: “Madonna, i’ m’assicuro","Tú le dirás: ""Virgen, me aseguro.""","Le dirás: ""Santa, me garantizo."""
"A questo far, c’Amor m’à•ssì distretto","para hacer esto, que el amor me atrapó","Para hacer esto, que el amor me ha secuestrado"
"Di vo’, ched i’ non posso aver sogiorno.","contigo, para que no tenga paz;","contigo, para que yo no tenga tranquilidad;"
Per ch’e’ convien che vo’ agiate merzede,¿Por qué estás de acuerdo en que tú eres misericordioso?,Porque ustedes deben mostrar piedad.
"Di me, che tanto vi son ito intorno.",de mí que tanto he estado a su alrededor,de mí que tanto he estado a su lado
"Ché•ssiate cierta ched i’ v’amo a fede,",Que estés segura de que te amo fielmente,Que estés absolutamente segura de que te amo devotamente
"Né d’amar voi giamai non mi ritorno,","y que nunca dejaré de amarte,",Y nunca dejaré de amarte.
Ché per voi il me’ cor salvar si crede”.,que para vosotros mi corazón se salvará,que para vosotros mi corazón se guardará
"E se•ttu ami donna ferma e sagia,","Y si amas a una mujer constante y sabia,","Si amas a una mujer fiel y sagaz,"
"Ben sagia   mente e fermo ti contieni,",Actúa con sabiduría y constancia;,Actúa con prudencia y perseverancia.
"C’avanti ch’ella dica: “Amico, tieni","para antes de que ella diga: ""Amigo, toma.""","Camarada, guárdelo."
"Delle mie gioie”, più volte t’asagia.","de mis alegrías, muchas veces te he puesto","Por mis alegrías, te advertí una y otra vez."
"E se•ttu ami femina volaggia,","Y si amas a una mujer voluble,","Si amas a una mujer cambiante, inestable, caprichosa."
"Volagia   mente davanti le vieni,","venir antes que ella de una manera voluble,",Prevenirla con flexibilidad.
"E tutt’a la sua guisa ti mantieni,",y te mantienes en tu manera,y te mantienes en tu modo
"Od ella ti terrà bestia salvaggia,",O ella te considera una bestia salvaje,O ella te considera un animal salvaje.
"E crederà che•ttu sie un papalardo,",y creer que no eres un hipócrita.,Y asumir que no eres un falso.
Che sie venuto a•llei per inganarla.,que viniste a ella para engañarla,que viniste a hacerle trampa.
"Chéd ella il vol pur giovane e galliardo,",Porque ella quiere a alguien que es joven y robusto.,Porque ella desea a alguien que es joven y vigoroso.
"La buona e•ssagia,   ma di ciò non parla",Una mujer buena y sabia nunca habla de esto;,Una mujer bondadosa y sabia nunca menciona esto.
"Anz’ama più l’uon fermo che codardo,","De hecho, ama a un hombre determinado más que a un cobarde,",Prefiere a un individuo decidido más de uno vili.
Ché non dotta che que’ faccia blasmarla.,¿Por qué no sabes lo que te culpará?,¿Por qué no sabe lo que le atraerá?
"Ancor convien che•ttu saccia ’lcun’arte,",Mejor aún que usted sabe algunas reglas,Aún mejor que usted sepa algunas normas
Per ghovernar e te e la tu’ amica:,para gobernarte a ti y a tu amiga:,"Dirigir, regular a ti y a tu compañera."
"Di buon’ morselli tuttor la mi notrica,","Todavía la alimentan de bocados tiernos,",alimentarla de nuevo con bocadillos suaves.
E dàlle tuttavia la miglior parte.,y darle siempre la mejor parte.,y siempre darle lo mejor.
"E s’ella vuol andar i•nulla parte,","Y si quiere ir a algún lado,","Si desea ir a algún lugar,"
"Sì•lle dì: “Va, che Dio ti benedica!”.","Dile: Id, y que Dios os bendiga.","Exhorta: Partid, y que Dios os conceda Su bendición."
In gastigarla non durar fatica,"No pierdas tu tiempo regañándola,","No distraigas tu tiempo en regañarla,"
Se dal su’ amor non vuo’ tagliar le carte.,A menos que quieras terminar la relación.,A menos que quieras interrumpir la relación.
"E se•lla truovi l’opera facciendo,",Y si descubres que hace el amor...,Si descubres que se dedica al amor...
Non far senbiante d’averla veduta:,No dejes que la veas.,No dejes que la escoltaste.
In altra parte   te ne va fugiendo;,Y en otra parte te vas huyendo,Y a otro lugar te vas huyendo
"E se•lle fosse lettera venuta,",y si la carta hubiera llegado,y si la misiva hubiera llegado
Non t’intrametter d’andar inchegiendo,No se preocupa por ir a preguntárselo.,No se preocupa por preguntárselo.
"Chi•ll’à recata, né chi la saluta.","que ha venido, ni al que saluda","que se ha dirigido, ni de quién saludar"
"S’a scachi, o vero a•ttavole, giocassi",si juegas al ajedrez o a la mesa real,Si jugara al ajedrez o realmente jugara al tablero de ajedrez.
"Co•lla tua donna, fa c’agie il pigiore","con tu señora, asegúrate de que",Asegúrate de que con tu esposa
"Del gioco, e dille ch’ell’è la migliore",y dile que ella es la mejor del juego,y dile que ella es la más hábil del juego
"Dadi-gittante, che•ttu mai trovassi.",datos gigantes que nunca vi,enormes datos que nunca había visto
"S’a coderon giocaste, pignia anbassi,","Y si juega coderon, lanza occh,","Si juega coderon, echa un vistazo."
E fa ched ella sia là vincitore.,Y haz que ella sea el ganador.,Y hazla la ganadora.
"Della tua perdita non far sentore,",No hagas sentir tu pérdida.,No dejes que sientas tu ausencia.
Ma che cortesemente la ti passi.,¿Qué clase de cortesemne te pasa?,Pero qué bondad tienes.
"Falla seder ad alti, e•ttu sie basso,","Siéntala en un lugar alto, y tú abajo,","Siéntala en un lugar alto, y tú abajo."
"E sì•ll’aporta carello, o cuscino:",y lleve una carretilla y una almohada;,y llevar un carro y una almohada.
Di le’ servir non ti veghi mai lasso.,Nunca le permitió verte cansado de servirla.,Nunca le permitió verte cansado de servirla.
"S’adosso le vedessi un buscolino,",Si tuviera que ver un punto en ella...,Si viera una mancha en ella...
"Fa che glie•levi, e se vedessi sasso,","Asegúrese de cepillarlo lejos, y si usted debe ver una piedra","Asegúrese de cepillarse, y si usted debe observar una roca."
"Là ’v’ella dé passar, netta ’l camino.","donde tiene que caminar, cepilla el sendero.","donde debe proceder, limpiar el camino."
A sua maniera ti mantien tuttora:,"A su manera, todavía te mantiene",De una manera peculiar aún te mantiene
"Che s’ella ride, ridi, o balla,   balla,","Si ella se ríe, tú te ríes, o si ella baila, tú bailas.","Si ella sonríe, tú te ríes, o ella baila, tú bailas."
"O s’ella piangie, pensa   a consolalla,","Y si llora, piensa y consuela,","Si llora, piensa y consuela."
Ma fa che pianghe tu sanza dimora.,Pero asegúrate de llorar sin demora.,Pero asegúrate de llorar sin demora.
"E se con altre done fosse ancora,",y si con otras mujeres todavía está,¿Y si con otras hembras sigue siendo así?
"Che giocasero al gioco della palla,",que jugaran al juego de la pelota,Que se diviertan con el juego de la pelota
"S’andasse lungi, corri ad aportalla.","Debería ir lejos, cohorte que lo traiga de vuelta a ella:","Se supone que debe progresar, llevárselo a usted."
A•lle’ servir tuttor pensa   e lavora.,Siempre piensa que la sirve y trabaja.,Siempre piensa en ayudarla y obra
"E se vien alcun’ or   ch’ella ti tenza,",Y si llega el momento de pelear contigo...,Si llega el momento en que se enfrenta a ti...
"Ch’ella ti crucci sì, che•ttu le dài,","o cuando te enfada tanto que la golpeas,","Cuando te enfada tanto que la golpeas,"
"Imantenente torna ad ubidenza,","Vuelve enseguida a obedecerlas,",Vuelve a obedecerlas de inmediato.
"E giurale che ma’ più no ’l farai,",Y prométele que no volverás a hacerlo.,Prométele que no volverás a hacerlo.
Di quel ch’ài   fatto farai   penitenza:,Vas a hacer penitencia por lo que hiciste.,Descontar tu culpa por lo que has cometido.
"Prendila e falle il fatto, che•tti sai.",¡Cogedla y hacedle lo que hagáis mejor!,¡Atrápenla y hagan lo que mejor saben hacer!
"Sovr’ognie cosa pensa di lusinghe,","Piensa en todas las halagas,",Piensa en todos los cumplidos.
"Lodando sua maniera, e sua fazone,","Alabando sus modales y su apariencia,",Elogiando su amabilidad y su apariencia.
"E che di senno passa Salamone,",Y como pasa Salomón con sabiduría;,y cómo Salomón procede sabiamente.
Con questi motti vo’ che•lla dipinghe.,Con estas palabras quiero que la describas.,Con estas palabras quiero que la delinees.
Ma guarda non s’avega che•tti’nfinghe,No sabía que estabas fingiendo.,Pero no sabía que estabas fingiendo.
Ché non v’andresti mai a prociessione:,¿Por qué nunca irías a la procesión?,¿Por qué nunca irías a la procesión?
Non ti varebe lo star ginochione.,Y no necesitas estar de rodillas.,No sería útil arrodillarse.
"Però quel lusinghar fa che tu ’l tinghe,","Pero ese halago hace que lo tires,","Pero ese adular hace que lo consideres,"
"Chéd e’ n’è ben alcuna sì viziata,",Porque no hay nadie tan malcriada.,Porque no hay nada tan corrupto
Che non crede giamai ta’ favolelle,"que nunca cree en esas historias,",que nunca confía en esas historias.
Per c’altra volta n’è stata   beffata;,Porque una vez la habían engañado.,porque una vez la habían engañado.
"Ma queste giovanette damigielle,",Pero estas jóvenes damas de honor,Estas jovencitas
"Chu’ la lor terra non n’è stata   arata,",que su tierra no ha sido arada,que su tierra no ha sido cultivada
Ti crederanno ben cota’ novelle!,Te crimarán bien en estas novelas.,Te creerán bien con estas nuevas palabras.
"Se•ttu ài altra amica procacciata,",si tienes otra amiga con la que trabajar.,Si tienes otra amiga.
"O ver che•ttu la guardi a procaciare,","O que la mires para conseguirla,","Que la obedezcas para que te la consigas,"
E sì non vuo’ per ciò abandonare,Y no quieres que te vayas.,No quieres abdicar por eso.
"La prima, chu’ à’ lungho tenpo amata,",la primera que amaba por mucho tiempo,La amada a largo plazo.
"Se•ttu a la novella à’ gioia donata,",si tú has dado alegría a la nueva,Si le has dado alegría a la joven.
Sì dì ch’ella la guardi di recare,Dile que la mires y la traigas de vuelta.,Dile que la mire para restaurarla.
"In luogo, ove la prima ravisare",en un lugar en el que la primera,En un lugar donde la primera nota
"No•lla potesse, ché seria ’smenbrata.","No podría hacerlo, porque estaría destrozada.","No podría hacerlo, porque sería aniquilada."
"O s’ella ancor ne fosse in sospezone,",o si aún es sospechosa.,si sigue siendo dudosa
"Fa saramenta ch’ella t’aggia torto,",Asegúrate de que se equivoque.,Hacer que ella se equivoque pacíficamente
C’unque ver’ lei non fosti in mesprigione;,Cualquiera que no estuviera en desprecio hacia ella,Cualquiera que no estuviera en contra de ella
"E s’ella il pruova, convien che sie acorto","Y si lo prueba, será mejor que tenga cuidado.","Si los experimenta, es importante que esté alerta."
"A dir, che forza fu, e tradigione:","a decir, qué fuerza fue, y traición","a declarar, qué vigor fue, e infidelidad"
Allor la prendi e sì•lle innaffia l’orto.,Entonces la coges y ella regala el huerto.,Entonces la adquieres y ella regala el jardín.
"E se•ttua donna cade in malatia,",y si tu mujer cae en la enfermedad,Y si tu compañera se enferma
"Sì pensa che•lla faccie ben servire,","Asegúrese de que ha servido bien,",Asegúrese de que ha satisfecho adecuadamente.
Né•ttu da•llei giamai non ti partire.,Y tú nunca te alejarás de ella.,Y tú nunca te separarás de ella.
"Dàlle vivanda, c’a piacier le sia,","Dale comida, que le guste.","Ofrécele alimento, que le guste."
"E po’ sì•lle dirai: “Anima mia,","Y luego le dirás: ""Alma mía,","""Y luego le dirás: ""Corazón mío."""
Istanotte ti tenni in mio dormire,"Anoche, en mi sueño, te mantuve.",Anoche en mi sueño te abracé.
"Intra.lle braccia sana, al me’ disire:","en mis brazos sanos, a mi deseo:","en mis brazos saludables, a mi anhelo."
"Molto mi fecie Idio gran cortesia,",Dios me hizo un gran favor.,Dios me dio una gran bondad.
Che mi mostrò sì dolze avisione”.,que me mostró una visión tan dulce.,que me dio una vista tan tierna.
"Po’ dica, ch’ella l’oda, come sagio,","Entonces diga, que usted lo escuche, como un sabio,","Luego dices que lo escuchas, como un sabio."
"Che per lei fara’ far gran prociessione,",que va a hacer una gran procesión para ella,que va a hacer un gran desfile para ella
"O•ttu n’andra’ in lontan pellegrinagio,","o que vayas a una larga peregrinación,","que tomes un largo viaje,"
Se Giesocristo le dà guerigione.,si Jesucristo la cura.,si Jesucristo la cura.
"Così avrai il su’ amor, e ’l su’ coragio».",Así tendrás su amor y su coraje.,Así obtendrás su afecto y su audacia.
"Quand’ebi inteso Amico, che leale","Cuando me enteré Amigo, que fiel","Cuando oí a Amigo, que leal"
"Consiglio mi dava, a su’ podere,","Me daba consejo, en su poder","Me daba consejos, lo mejor que podía."
"I’ sì•lli dissi: «Amico, il mi’ volere","Le dije: ""Amigo, mi voluntad.""","Le dije: ""Compañero, mi deseo."""
"Non fu unquanche d’esser disleale,",Nunca debió ser desleal.,Nunca debió ser engañoso.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",No le guste a Dios que yo sea conducido a tal,No se le permita a Dios que me lleve a tal
"Ch’i’ a le gienti mostri benvolere,",que demuestro bondad a la gente,que le mostraré cortesía a la gente
"E servali del corpo, e dell’avere,",y siervos del cuerpo y del tener,y empleados del cuerpo y de la riqueza
Ched i’ pensase poi di far lor male.,Y luego pensé que les haría daño.,Y luego pensé en hacerle daño.
Ma sòffera ch’i’ avante disfidi,"Pero antes que nada, déjenme desafiar.","En primer lugar, permítanme desafiar."
"E Mala-Bocca, e tutta sua masnada,","Malabocia y toda su pandilla,",Malignidad y su grupo.
"Sì che neuno in me giamai si fidi,",Que nadie en mí nunca confíe en mí,Que nadie en mí se confíe jamás
Po’ penserò di metterli a la spada».,Entonces pensaré en ponerlos a la espada.,Entonces pienso armarlos con la espada.
"Que’ mi rispuose: «Amico, mal ti guidi:","Y me dijo: ""Amigo, te equivocas:","Que me dijo: ""Compañero, pero tú estás equivocado:"
Cotesta sì nonn-è la dritta strada.,Este no es el camino correcto.,Este no es el camino adecuado.
"A te sì non convien far disfidaglia,","A ti no te conviene hacer este desafío,",A ti no te conviene afrontar este desafío.
Se•ttu vuo’ ben civir di questa guerra.,Si quieres acabar bien con esta guerra.,Si quieres terminar esta guerra felizmente.
"Lasciala far a’ gran’ signior’ di terra,",Déjala a los grandes amos de la tierra,Permitir a los gobernantes de la tierra.
Che posson soferir oste e battaglia.,¡que pueden permitirse el ejército y las batallas!,¡Que pueden financiar el ejército y las escaramuzas!
"Mala-Bocca, che così ti travaglia,","Malabocia, que te atormenta,","Malestar, que te aflige,"
È traditor: chi ’l tradiscie non erra.,es un traidor: el que le traiciona no se equivoca;,Es un infiel: quien lo desgasta no comete un error.
"Chi con falsi senbianti no•ll’aferra,","quien no lo atrape con apariencias falsas,",Quien no le engaña con falsas pretensiones.
Il su’ buon giocho mette a ripentaglia.,pone en peligro su buen juego.,amenaza su buena reputación.
"Se•ttu lo sfidi, o batti, e’ griderà,","Si le desafía o le golpea, gritará,","Si le retas o le atacas, gritará."
Chéd egli è di natura di mastino:,Porque es de naturaleza mastín,Porque él es de naturaleza tenaz
"Chi più ’l minaccia, più gli abaierà.","Quien más lo amenaza, más le ladrará","Cuanto más lo amenaza, más le gritará"
"Chi Mala-Bocca vuol metter al chino,",Quien quiera conquistar Malabocia,Cualquiera que desee sojuzgar Malabocia
"Sed egli è sagio, egli•lusingherà:","le halagará, si es sabio,","Lo adulará, si es sabio."
Ché cierto sie quell’è ’l dritto camino».,Que esté seguro de que es el camino correcto.,que sea incuestionable que es el camino adecuado.
"«Po’ mi convien ovrar di tradigione,","""Entonces me conviene trabajar con la tradición,","""Entonces me conviene actuar según la costumbre,"
"E a•tte pare, Amico, ch’i’ la faccia,","Y a ti te parece, amigo, que yo lo hago,","A ti te parece, camarada, que la cometa."
"I’ la farò,   come ch’ella mi spiaccia,","Lo haré, como si no me gustara.","Lo haré, a pesar de mi desacuerdo."
Per venir al di su di quel cagnione.,Para ir por encima de ese perro.,Para superar a ese perro.
"Ma sì•tti priego, gientil conpagnione,","Pero por favor, camarada,","Por favor, camarada adorable,"
"Se•ssai alcuna via, che•ssia più avaccia,","Si hay algún camino, que sea más rápido.","Si hay alguna ruta, que sea más rápida"
"Per Malabocca e suo’ metter in caccia,",para cazar Malabocia y los suyos,Exorcizar Malabocia y sus
"E trar Bellacoglienza di pregione,",Y liberar a Bell de la recepción de la prisión,Y liberar a Bell de la recepción de la cárcel
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Que me lo enseñes y yo iré.,Que me lo enseñes y yo lo haré.
"E menerò   comeco tal aiuto,",y traeré tal ayuda inicial.,y daré tal apoyo inicial
Ched i’ quella forteza abatterò».,¿Por qué besaré esa fortaleza?,Porque esa fortaleza se derrumbó.
"«E’ nonn-à guari ch’i’ ne son venuto»,","""No hace mucho que vine de allí,""",No he estado por ahí desde hace mucho tiempo.
"Rispuose Amico, «ma ’l ver ti dirò,","Respondió el Amigo, pero yo te diré la verdad,","El amigo respondió, pero yo te revelaré la realidad."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","que si fui, me arrepentí.","que si fui, lo siento."
"S’uom apella il camin Troppo-Donare,",Si un hombre llama a la chimenea Demasiado-Donar,Si un hombre llama a la chimenea Abundancia-Regalar.
"E’ fu fondato per Folle-Largheza,",fue construido para Loco-Largheza,Fue construido para Extrema-Ampliación
"L’entrata guarda madonna Richeza,",la entrada mira Madonna Riqueza,El vestíbulo observa a la señora Abundancia.
"Che non i lascia nessun huon passare,",Que no deja pasar a ningún hombre,Que no permite que ningún hombre pase.
"S’e’ nonn-è su’ parente, o su’ conpare,","Si no es su pariente, o su compañero","Si no es su consanguineo, o su amigo"
"Già tanto nonn-avrebe in sé belleza,","No importa la belleza que tenga,","No importa lo atractivo que sea,"
"Cortesia, né saver, né gientileza,","Cortesía, ni conocimiento, ni bondad","Cortesía, ni conocimiento, ni bondad"
Ched ella gli degniasse pur parlare.,Que ella sólo le dignaba hablar.,Que ella sólo le acordara hablar.
"Se puo’ per quel camin trovar   passagio,",si puede ese camino encontrar un pasaje,Si ese camino puede encontrar una vía de acceso.
"Tu•ssì abattera’ tosto il castello,",Derribarás el castillo pronto.,Pronto derribarás la mansión.
"Bellacoglienza trarà’ di servagio,",Hermosa acogida sacará de la servidumbre,"Liberación, extracción, hospitalidad."
"Non vi varrà gittar   di manganello,",No le será útil lanzar porras,No le será útil lanzar palos
"Néd a le guardie lor folle musagio,",Ni a sus guardias locos diversión,Ni a sus locos guardias gozosos
"Porte, né mura, né trar   di quadrello.","Puertas, ni muros, ni tirar de cuadros","Puertas, ni muros, ni arrastrar de enrejado"
"Or sì•tt’ò detto tutta la sentenza,",Ahora se dice toda la sentencia,Ahora se ha dictado toda la sentencia.
Di ciò che•ssagio Amante far   dovria.,de lo que un sabio amante debe hacer:,de lo que un sabio aficionado debe hacer
"Così l’amor di lor guadagnieria,",Para que el amor les gane,para que el afecto les dé
"Sanz’aver mai tra•llor malivoglienza,",Sin tener amistad entre ellos,Sin tener una alianza entre ellos
"Se mai trai di pregion Bellacoglienza,","Si liberas a Bell de la prisión,","Si liberas a Belaccoglienca de la cárcel,"
"Sì fa che•ttu ne tenghi questa via,",Haz que mantengas este camino.,Asegúrate de seguir este camino.
"Od altri menti mai non t’ameria,","Si no, nunca te amaría.","Si no, nunca lo amará."
Che ch’ella ti mostrasse in aparenza.,Que él te mostrara en apariencia,Que él te demostrara exteriormente
"E dàlle spazio di poter andare,",Y darle la libertad de irse.,Concederle la libertad de moverse.
"Colà, dove le piacie, per la villa;",dondequiera que le guste en la ciudad;,dondequiera que le guste en la ciudad.
Pena perduta seria   in le’ guardare:,la pena de mirar sería perder,La consecuencia de observar sería dispersar.
Ché•ttu teresti più tosto un’anguilla,¿Por qué te aferras a una anguila?,¿Por qué apretarías más firmemente una anguila?
"Ben viva per la coda, e fossi in mare,","bien viva por la cola, aunque estuvierais en el mar,","Bienvenida a la cola, aunque estuvieran en el océano."
"Che non faresti femina, che ghilla».","¿Qué no haría una mujer, tonta?","Lo que una mujer no haría, tonta."
"Così mi confortò il buon Amico,",Así que me consoló el buen amigo,"De este modo, mi bondadoso amigo me consoló."
"Po’•ssi partì da me, sanza più dire.",Y luego se fue sin otra palabra.,Luego se fue sin otra frase.
"Allor mi comincià’ fort’ a giechire,",Entonces empecé a ser muy humilde.,Entonces empecé a sentirme muy humillado.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","A Malabocia, mi cruel enemigo.","Hacia Malvado, mi enemigo despiadado."
"Lo Schifo i’ sì pregiava   men ch’un fico,",No me importaba la Resistencia.,No me importaba la Resistencia.
Ch’egli avea gran talento di dormire;,que tenía un gran deseo de dormir;,Que tenía un gran anhelo de descansar.
Vergognia si volea ben sofferire,Modestia realmente quería abstenerse,La humildad anhelaba genuinamente abstenerse
"Di gueregiarmi, per cierto vi dico,","Por pelear conmigo, te lo digo.","Por desafiarme, te lo aseguro."
"Ma’ e’ v’era Paura, la dottosa,","Pero estaba el miedo, el temeroso,","Estaba la ansiedad, el estremecedor."
"C’udendomi parlar tutta tremava,","Que, al escucharme hablar, temblaba por todas partes:","Que, mientras me escuchaba hablar, temblaba en cada fibra."
"Quella nonn-era punto dormigliosa,",que uno no estaba dormido en absoluto;,que uno no estaba para nada dormido.
"In ben guardar il Fior molto pensava,","Cuidó mucho de la Flor,",Se ha prestado mucha atención a la conservación de la Flor.
"Vie più che•ll’altre guardi’ era curiosa,","Y era más curiosa que los otros guardias,",Y más interesada que los otros centinelas.
Perciò che ben in lor non si fidava.,Desde que no confiaba en ellos.,Desde que no confiaba en ellos.
"Intorno dal castello andai ciercando,",Todo alrededor del castillo fui a buscar,Todo alrededor de la mansión fui a investigar.
"Sed i’ potesse trovar quel’entrata,",Si pudiera encontrar esa entrada...,Si pudiera encontrar esa puerta...
"La qual Folle-Largheza avea fondata,",que Forte-Largheza fundó,Que robustez había establecido
"Per avacciar ciò, che giva pensando.",Para acelerar lo que estaba pensando.,"Acelerar, lo que estaba meditando."
"Allor guardai, e sì vidi onbreando",Entonces miré y vi las sombras.,Entonces escudriñé y pasé por la oscuridad.
"Di sotto un pin una donna pregiata,","bajo un pino, una mujer digna,","Debajo de un abeto, una mujer digna de respeto."
"Sì nobil mente vestita e parata,",tan noblemente vestida y adornada,magníficamente atraída y adornada
