Original,Translate,Translate_GPT_1
"A dir, che forza fu, e tradigione:","zu sagen, welche Kraft war, und Verrat","zu erklären, welche Kraft war, und Untreue"
Allor la prendi e sì•lle innaffia l’orto.,Dann nimmst du sie und sie wässert den Garten.,Dann kaufst du sie und sie bewässert den Garten.
"E se•ttua donna cade in malatia,",und wenn deine Frau krank wird,Und wenn deine Partnerin krank wird
"Sì pensa che•lla faccie ben servire,","stellen Sie sicher, dass Sie gut gedient haben,","stellen Sie sicher, dass Sie zufrieden sind."
Né•ttu da•llei giamai non ti partire.,Und du wirst nie von ihr weggehen.,Und du wirst dich nie von ihr trennen.
"Dàlle vivanda, c’a piacier le sia,","von den Speisen, die sie mag","Es gibt Nahrung, die Ihnen gefällt."
"E po’ sì•lle dirai: “Anima mia,","Und dann wirst du zu ihr sagen: ""Meine Seele,","""Und dann wirst du zu ihr sagen: ""Mein Herz."""
Istanotte ti tenni in mio dormire,Ich habe dich letzte Nacht in meinem Traum behalten.,Ich habe dich letzte Nacht in meinem Traum umarmt.
"Intra.lle braccia sana, al me’ disire:","in meinen gesunden Armen, auf meinen Wunsch:","In meinen gesunden Armen, in meinem Verlangen."
"Molto mi fecie Idio gran cortesia,","Gott hat mir eine große Höflichkeit erwiesen,",Gott gab mir eine große Freundlichkeit.
Che mi mostrò sì dolze avisione”.,Dass er mir so eine süße Vision zeigte.,Dass ich eine so zarte Aussicht hatte.
"Po’ dica, ch’ella l’oda, come sagio,","Dann sagen Sie, dass Sie ihm zuhören, wie ein Essay,","Dann sagen Sie, dass Sie ihm zuhören, wie ein Klugscheißer."
"Che per lei fara’ far gran prociessione,",der für sie eine große Prozession machen wird,die für sie eine große Parade machen wird
"O•ttu n’andra’ in lontan pellegrinagio,","oder daß du auf eine lange Pilgerreise gehst,","daß du eine ausgedehnte Reise machst,"
Se Giesocristo le dà guerigione.,wenn Jesus Christus sie heilt.,wenn Jesus Christus sie heilt.
"Così avrai il su’ amor, e ’l su’ coragio».",So wirst du seine Liebe und seinen Mut haben.,Auf diese Weise wirst du seine Zuneigung und seine Kühnheit erlangen.
"Quand’ebi inteso Amico, che leale","Als ich verstanden hatte Freund, der treu","Als ich gehört hatte Freund, wie loyal"
"Consiglio mi dava, a su’ podere,","Er gab mir Rat, nach seiner Macht","Er gab mir Rat, sein Bestes."
"I’ sì•lli dissi: «Amico, il mi’ volere","Ich sagte zu ihm: Freund, mein Wille","Ich sagte zu ihm: Genosse, mein Wunsch"
"Non fu unquanche d’esser disleale,",Es sollte nie unfair sein.,Er sollte niemals trügerisch sein.
"Né piaccia a Dio, ch’i’ sia condotto a tale,","Gott mag es nicht, daß ich zu einem solchen geführt werde.","Möge Gott nicht zugelassen werden, daß ich zu einem solchen geführt werde."
"Ch’i’ a le gienti mostri benvolere,",daß ich den Menschen Freundlichkeit zeige,dass ich den Menschen Höflichkeit zeige
"E servali del corpo, e dell’avere,",und Diener des Leibes und des Habens,und Mitarbeiter des Körpers und des Reichtums
Ched i’ pensase poi di far lor male.,"Und dann hätte ich gedacht, ich würde ihnen wehtun.","Und dann dachte ich, ich würde ihm Schaden zufügen."
Ma sòffera ch’i’ avante disfidi,Aber lassen Sie mich zuerst herausfordern,Lassen Sie mich zuerst herausfordern.
"E Mala-Bocca, e tutta sua masnada,","Malabocia und ihre ganze Bande,",Böses Verhalten und seine Gruppe.
"Sì che neuno in me giamai si fidi,",daß niemand an mir trauen wird,Dass niemand in mir jemals auf mich vertraut
Po’ penserò di metterli a la spada».,Und ich will sie ans Schwert legen.,Dann will ich sie mit dem Schwert bewaffnen.
"Que’ mi rispuose: «Amico, mal ti guidi:","Sie sagte: ""Freund, aber du irrst dich.","Er sagte zu mir: ""Mann, aber du irrst dich."
Cotesta sì nonn-è la dritta strada.,Das ist nicht der richtige Weg.,Das ist nicht der richtige Weg.
"A te sì non convien far disfidaglia,","Dir ist es nicht recht, diese Herausforderung zu meistern.","Dir ist es nicht ratsam, diese Herausforderung anzunehmen."
Se•ttu vuo’ ben civir di questa guerra.,Wenn du diesen Krieg gut beenden willst.,Wenn du diesen Krieg glücklich beenden willst.
"Lasciala far a’ gran’ signior’ di terra,",Laß sie den großen Herrschern der Erde tun.,Den Herrschern der Erde erlauben.
Che posson soferir oste e battaglia.,die sich die Armee und die Schlachten leisten können!,Dass sie die Armee und das Fechten finanzieren können!
"Mala-Bocca, che così ti travaglia,","Malabocia, die dich so quält,","Übelkeit, die dich so betrübt,"
È traditor: chi ’l tradiscie non erra.,"Er ist ein Verräter; wer ihn verrät, der irrt sich nicht.","Er ist ein Ungläubiger: Wer ihn entzückt, macht keinen Fehler."
"Chi con falsi senbianti no•ll’aferra,","Wer ihn nicht mit falschen Scheinen fängt,",Wer ihn nicht mit falschen Behauptungen betrügt.
Il su’ buon giocho mette a ripentaglia.,Er riskiert sein gutes Spiel.,Er bedroht seinen guten Ruf.
"Se•ttu lo sfidi, o batti, e’ griderà,","Wenn Sie ihn herausfordern oder schlagen, wird er schreien,","Wenn Sie ihn herausfordern oder angreifen, wird er schreien."
Chéd egli è di natura di mastino:,Denn er ist mastiner Natur.,Denn er ist hartnäckig.
"Chi più ’l minaccia, più gli abaierà.","Wer ihn bedroht, der wird ihn bellen.","Je mehr er ihn bedroht, desto mehr wird er schreien"
"Chi Mala-Bocca vuol metter al chino,","Jeder, der Malabocia erobern will","Jeder, der Malabocia manipulieren möchte"
"Sed egli è sagio, egli•lusingherà:","Er wird ihn schmeicheln, wenn er weise ist,","Er wird ihn erziehen, wenn er weise ist."
Ché cierto sie quell’è ’l dritto camino».,"Ich bin sicher, das ist der richtige Weg.",Das ist der richtige Weg.
"«Po’ mi convien ovrar di tradigione,","""Dann bemühe ich mich, Tradition zu üben,","""Dann sollte ich nach dem Brauch handeln,"
"E a•tte pare, Amico, ch’i’ la faccia,","Und für dich sieht es so aus, als würde ich es tun.","Dir erscheint es, Genosse, dass ich es tue."
"I’ la farò,   come ch’ella mi spiaccia,","Ich werde es tun, als ob ich es nicht mag.","Das werde ich, trotz meines Widerstands."
Per venir al di su di quel cagnione.,Um über diesen Hund zu kommen,Um diesen Hund zu überwinden
"Ma sì•tti priego, gientil conpagnione,","Aber bitte, netter Genosse...","Bitte, liebender Genosse,"
"Se•ssai alcuna via, che•ssia più avaccia,","wenn es einen Weg gibt, der schneller ist","Wenn es einen Pfad gibt, der schneller ist"
"Per Malabocca e suo’ metter in caccia,",um Malabocia und ihre zu jagen,Exorzisieren Malabocia und ihre
"E trar Bellacoglienza di pregione,",Und Begrüßung des Gefängnisses freigeben,Und Bell Begrüßung aus dem Gefängnis befreien
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,","Du bringst es mir bei, und ich gehe hin.","Du bringst es mir bei, und ich werde es tun."
"E menerò   comeco tal aiuto,",und ich bringe eine solche anfängliche Hilfe,und ich werde eine solche anfängliche Unterstützung zur Verfügung stellen
Ched i’ quella forteza abatterò».,Denn diese Festung trinke ich.,Weil die Festung zusammenbrach
"«E’ nonn-à guari ch’i’ ne son venuto»,","""Es ist nicht lange her, dass ich von dort gekommen bin.""","Es ist nicht lange her, dass ich in diese Richtung gekommen bin."
"Rispuose Amico, «ma ’l ver ti dirò,","Der Freund antwortete, aber ich will dir die Wahrheit sagen,","Der Freund antwortete, aber ich werde dir die Realität zeigen."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","Dass ich es bereue, wenn ich hinging.","daß, wenn ich hinging, ich bedauere"
"S’uom apella il camin Troppo-Donare,",Wenn ein Mann den Kamin ruft zu viel-Spenden,"Wenn ein Mann den Kamin ""Überfluss-Regalieren"" nennt."
"E’ fu fondato per Folle-Largheza,",wurde für Wahnsinn-Largheza gebaut,Es wurde für Extrema-Happy gebaut
"L’entrata guarda madonna Richeza,",die antrauliche schaut Madonna Reichtum,Der Eingang beobachtet Mrs. Überfluss.
"Che non i lascia nessun huon passare,",Er lässt keinen Mann durch.,Dass er niemanden durchlässt.
"S’e’ nonn-è su’ parente, o su’ conpare,","Wenn er nicht mit ihm verwandt ist, oder sein Kumpel","Wenn er kein Blutsverwandter ist, oder sein Freund"
"Già tanto nonn-avrebe in sé belleza,","Egal, wie schön sie sein kann,","Egal, wie attraktiv sie sein kann,"
"Cortesia, né saver, né gientileza,","Höflichkeit, weder Wissen noch Freundlichkeit","Höflichkeit, weder Wissen noch Freundlichkeit"
Ched ella gli degniasse pur parlare.,dass sie ihm nur würdig war zu sprechen,"dass Sie ihm nur zustimmen, zu sprechen."
"Se puo’ per quel camin trovar   passagio,",Wenn dieser Weg einen Weg finden kann,Wenn dieser Weg einen Weg nach vorn finden kann.
"Tu•ssì abattera’ tosto il castello,",Du wirst bald das Schloss niederreißen.,Du wirst das Schloss bald abreißen.
"Bellacoglienza trarà’ di servagio,",Schöne Begrüßung wird aus der Dienerschaft,"Befreiung, Extraktion, Gastfreundschaft."
"Non vi varrà gittar   di manganello,","Es wird Ihnen nicht nützlich sein, Mangeln zu werfen","Es wird dir nicht nützen, Stöcke zu schleudern"
"Néd a le guardie lor folle musagio,",Weder ihre Wärter verrückt Spaß,Weder ihre Wächter verrückte Freude
"Porte, né mura, né trar   di quadrello.","Türen, Mauern und Markisen","Türen, Mauern und Gitterzieher"
"Or sì•tt’ò detto tutta la sentenza,",Jetzt wird das ganze Urteil gesprochen.,Jetzt wurde das ganze Urteil gefällt.
Di ciò che•ssagio Amante far   dovria.,"über das, was ein weiser Liebhaber tun sollte:","über das, was ein weiser Liebhaber tun sollte"
"Così l’amor di lor guadagnieria,",so wird die Liebe sie gewinnen,so wird ihnen die Zuneigung zuteil werden.
"Sanz’aver mai tra•llor malivoglienza,",Ohne Freunde zu haben,Ohne einen Bund zwischen ihnen
"Se mai trai di pregion Bellacoglienza,","Wenn du Bell Begrüßung aus dem Gefängnis bekommst,","Wenn Sie Bellacaglienza von der Gefängnisstrafe befreien,"
"Sì fa che•ttu ne tenghi questa via,","Mach, dass du diesen Weg bewahrst.","Vergewissern Sie sich, dass Sie diesem Weg folgen."
"Od altri menti mai non t’ameria,",Sonst würde er dich nie lieben.,Sonst wird er ihn nie lieben.
Che ch’ella ti mostrasse in aparenza.,Dass er dich offenbarte,Dass er dich äußerlich bewies
"E dàlle spazio di poter andare,","Und ihr die Freiheit geben, zu gehen.","Geben Sie ihr die Freiheit, sich zu bewegen."
"Colà, dove le piacie, per la villa;","überall, wo sie in der Stadt steht;",Wo immer sie in der Stadt steht.
Pena perduta seria   in le’ guardare:,die Mühe des Anblicks würde verlieren,Die Folge der Beobachtung würde zerstreuen.
Ché•ttu teresti più tosto un’anguilla,Warum würdest du einen Aal enger halten?,Warum würdest du einen Aal fester halten?
"Ben viva per la coda, e fossi in mare,","lebendig für den Schwanz, auch wenn ihr auf See wart,","Willkommen am Schwanz, auch wenn Sie im Ozean waren."
"Che non faresti femina, che ghilla».","Was würde eine Frau nicht tun, Dummkopf?","Was würde eine Frau nicht tun, du Narr?"
"Così mi confortò il buon Amico,",So tröstete mich der gute Freund,Auf diese Weise tröstete mich mein freundlicher Freund.
"Po’•ssi partì da me, sanza più dire.",Dann ging er ohne ein anderes Wort.,Dann ging er ohne einen weiteren Satz.
"Allor mi comincià’ fort’ a giechire,","Dann fing ich an, sehr demütig zu sein.",Dann wurde ich sehr gedemütigt.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","nach Malabocia, meinem grausamen Feind.","Auf den bösen, gnadenlosen Feind."
"Lo Schifo i’ sì pregiava   men ch’un fico,",Der Widerstand war mir egal.,Der Widerstand war mir egal.
Ch’egli avea gran talento di dormire;,dass er einen großen Wunsch zu schlafen hatte;,"Er hatte ein großes Verlangen, sich auszuruhen."
Vergognia si volea ben sofferire,Bescheidenheit wollte sich wirklich enthalten,Demut wollte sich aufrichtig enthalten
"Di gueregiarmi, per cierto vi dico,","Dafür, dass ich gekämpft habe, sage ich es dir.","Dafür, dass du gegen mich gekämpft hast, versichere ich dir."
"Ma’ e’ v’era Paura, la dottosa,","Aber es gab Angst, Furcht,","Es gab Angst, die beängstigend war."
"C’udendomi parlar tutta tremava,","als er zuhörte, daß er überall zitterte:","Als er mir zuhörte, zitterte er in jeder Faser."
"Quella nonn-era punto dormigliosa,",daß jemand überhaupt nicht schläfrig war;,Dass man gar nicht schläfrig war.
"In ben guardar il Fior molto pensava,","Sie hat sich sehr um die Blume gekümmert,",Bei der Erhaltung der Blume ist man sehr vorsichtig.
"Vie più che•ll’altre guardi’ era curiosa,","Und sie war neugieriger als die anderen Wachen,",und interessiert sich mehr für die anderen Wächter.
Perciò che ben in lor non si fidava.,Seit er ihnen nicht vertraut hat.,Seit er nicht auf sie vertraute.
"Intorno dal castello andai ciercando,",Alles um das Schloss ging ich suchen,Alles um das Schloss ging ich zu untersuchen.
"Sed i’ potesse trovar quel’entrata,",Wenn ich diesen Eingang finden könnte...,Wenn ich diese Tür finden könnte...
"La qual Folle-Largheza avea fondata,",die Forte-Largheza gegründet hatte,Deren Robustheit er ins Leben gerufen hatte
"Per avacciar ciò, che giva pensando.","Um das zu beschleunigen, was ich dachte.","Beschleunigen, was ich meditiere."
"Allor guardai, e sì vidi onbreando",Und ich sah zu und sah im Schatten.,Dann schaute ich in der Dunkelheit nach und ging in die Vergangenheit.
"Di sotto un pin una donna pregiata,","unter einer Kiefer, eine würdige Frau,","Unter einer Tanne, eine respektvolle Frau."
"Sì nobil mente vestita e parata,",so edel angezogen und geschmückt,wunderschön angezogen und geschmückt
Che tutto ’l mondo gìa di lei parlando.,Die ganze Welt hat von ihr gesprochen.,Dass die ganze Welt von ihr sprach.
"E sì avea in sé tanta beleza,",und hatte in sich so viel Schönheit,Sie war mit großem Charme ausgestattet.
Che tutto intorno lei aluminava,der alles um sie herum erleuchtet hat,der alles um sie herum riskierte
"Chol su’ visagio, tanto avea chiareza.","mit seinem Gesicht, so viel Klarheit hatte;",Mit seinem Gesicht hatte er viel Transparenz.
Ed un suo amico co•llei si posava.,"Und ein Freund von ihr, der mit ihr zusammen war.","und ein Begleiter, der zusammen mit ihr war"
"La donna si avea nome Richeza,",Die Frau hieß Richeza.,Die Frau hieß Überfluss.
Ma•llui non so com’altri l’apellava.,"Aber ich weiß nicht, wie er sonst hieß.","Aber ich wusste nicht, wie er heißt."
"Col capo inchino la donna salutai,","Ich grüßte die Frau mit niedrigem Kopf,","Ich grüßte die Frau mit einer Verbeugung,"
E sì•lla cominciai   a domandare,"Und ich fing an, sie zu fragen.","Ich fing an, sie zu fragen."
"Del camin, c’uomo apella Tropo-Dare.","auf dem Weg, der Tropo-Dare genannt wird.","der Route, die Tropo-Prove genannt wird."
Quella rispose: «Già per me no ’l sai,Sie antwortete: Du wirst es nicht von mir erfahren;,Sie antwortete: Du wirst es nicht von mir lernen.
"E, se ’l sapessi, già non vi ’nterrai,","Und wenn du es wüsstest, würdest du nie reingehen,","Und wenn du ihn kennen würdest, würdest du nie reingehen."
Chéd i’ difendo a ciaschedun l’entrare,"weil ich allen den Eintritt verbiete,",Weil ich allen den Zugang verbiete.
Sed e’ nonn-à che spender e che dare.,Aber Sie müssen ausgeben und geben.,Aber Sie müssen investieren und verteilen.
"Sì farai   gran saver, se•tte ne vai:","Also, wenn du klug bist, dann gehst du.","Also, wenn du klug bist, gehst du."
"C’unquanche non volesti mi’ acontanza,",Wenn du nie meine Gesellschaft willst,"Wenn du nicht willst, dass ich hier bin..."
Né mi pregiasti mai  a la tua vita.,Und du hast mich nie in deinem Leben gelobt.,Du hast mich nie gelobt.
"Ma or ne prenderò buona vengianza,",Aber jetzt kriege ich meine süße Rache.,Jetzt kriege ich meine süße Revanche.
"Ché, sie ciertano, se•ttu m’ài   schernita,","auf daß ihr sicher seid, ob ihr mich verachtet habt,","Weil ihr absolut überzeugt seid, wenn ihr mich verachtet habt,"
"I’ ti darò tormento e malenanza,","Ich werde dich quälen und unglücklich machen,",Ich werde dich traurig und traurig machen.
Sì ch’e’ me’ ti varia avermi servita».,"Dass es besser für euch wäre, wenn ihr mir gedient hättet.","Das wäre besser für euch, als mich angenommen zu haben."
"«Per Dio, gientil madonna, e per merzede»,","Um Gottes willen, liebe Frau, und um der Barmherzigkeit willen,","Für die göttliche, freundliche Dame und Gnade."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Ich habe ihr gesagt, wenn ich dir wehgetan habe,","Ich habe ihr gesagt, wenn ich dir Schmerzen bereitet habe,"
Ched e’ vi piaccia ched e’ sia amendato,"Was du magst, was richtig ist","Was du magst, was angebracht ist"
"Per me, chéd i’ ’l farò a buona fede:","Für mich, denn ich werde es in gutem Glauben tun.","Für mich, denn ich werde es in aller Aufrichtigkeit tun."
"Ch’i’ son ciertan, che ’l vostro cuor non crede","Denn ich bin sicher, dass Ihr Herz nicht glaubt","Denn ich bin sicher, dass Ihr Herz nicht glaubt"
"Com’io dentro dal mio ne son crucciato,",wie ich in meinem Innern betrübt bin;,wie in meinem Innern bin ich betrübt;
"Ma quando vo’ m’avrete ben provato,",Aber wenn du mich auf die Probe stellst,Wann wirst du mich auf die Probe stellen?
"E’ sarà cierto di ciò, c’or non vede.","Und es wird sicher sein, dass, die jetzt nicht sehen","Es wird unwiderstehlich sein von dem, was jetzt nicht sichtbar ist."
"Per ch’i’ vi priego, che mi diate il passo,","Deswegen bitte ich dich, lass mich durch.","Ich flehe dich an, mir die Erlaubnis zu geben, vorbeizukommen."
Ched i’ potesse abatter il castello,Damit ich das Schloss abreißen kann.,Auf diese Weise kann ich das Schloss abreißen.
"Di Gielosia, che m’à sì messo al basso».","Ich bin eifersüchtig, der mich abgesetzt hat.","Neid, der mich gesetzt hat."
Quella mi disse: «Tu•ssè mio ribello:,"Er sagte zu mir: ""Du bist mein Feind;","Er sagte zu mir: ""Du bist mein Widersacher;"
"Per altra via andrai, ché sarà’ lasso",auf einem anderen Pfad wirst du gehen; denn du wirst erschöpft sein.,auf einem anderen Wege wirst du gehen; denn du wirst erschöpft sein.
Inanzi che n’abatti un sol crinello».,vor dem Erschlagen eines einzigen Amsels des Turms,Vor dem Zerreißen eines einzigen Amsels des Turms
"Già no•mi valse nessuna preghera,",Ich habe kein Gebet gesprochen.,Ich habe nicht gebettelt.
"Ched i’ verso Richeza far potesse,",Ich hätte nach Richeza gehen können.,"Dass ich Richezza anbieten könnte,"
"Ché poco parve ch’e’ le ne calesse,","denn es schien ihr egal zu sein,",Sie schien ihr gleichgültig zu sein.
Sì•lla trovai ver’ me crudel e fera.,Ich fand sie so grausam zu mir.,Ich fand sie so rücksichtslos zu mir.
"Lo Dio D’Amor, che guar’ lungi non m’era,","Der Gott der Liebe, der nicht weit von mir war,","Der Göttliche des Leidens, der nicht weit von mir entfernt war,"
"Mi riguardò com’io mi contenesse,","Er sah, wie es mir ging.","Er untersuchte, wie ich mich benahm."
E parvemi ched e’ gli ne incresciesse;,"Und ich dachte, er würde ihn belästigen.","Und ich dachte, er würde ihn ärgern."
"Si venne a me e disse: «In che manera,","Er kam zu mir und sagte zu mir: ""Wie,","Er kam zu mir und sagte zu mir: ""Wie,"
"Amico, m’ài guardato l’omanagio,","Alter, du hast deinen Eid gehalten.","Alter, du hast dein Versprechen gehalten."
"Che mi faciesti, passat’à un anno?».",Hast du vor einem Jahr mit mir geschlafen?,Was hast du mir vor einem Jahr angetan?
"I’ gli dissi: «Messer, vo’ avete il gagio","Ich sagte zu ihm: ""Herr, du hast mein Versprechen,","Ich sagte zu ihm: ""Ihre Exzellenz, ich habe mein Wort gegeben,"
"Or, ch’è il core». «E’ non ti fia già danno,","Jetzt, da es mein Herz ist, wird es dir keinen Schaden anrichten.","Jetzt, da es mein Herz ist, wird es dir nichts Böses bringen."
Ché tu•tti sè portato come sagio:,"denn du hast dich weise benommen,","Da du mit Vorsicht gehandelt hast,"
Sì avrai guiderdon del grande afanno».,Du wirst für deine große Angst belohnt werden.,Du wirst eine Belohnung für dein großes Leiden bekommen.
Lo Dio d’Amor per tutto ’l regnio manda,Im ganzen Königreich sendet der Gott der Liebe,Im ganzen Königreich sendet das Supreme Wesen der Liebe
Messagi e lettere a la Baronia:,Boten und Briefe an alle Baronen;,Träger und Briefe an alle Herren.
"Che davanti da lui ciaschedun sia,",Wer auch immer vor ihm steht,"Jeder, der vor ihm steht"
"Ad alcun priega, e ad alcun comanda;",Einige fragen und einige bestellen,"Irgendjemand fragt, und jemand anderes hat das Sagen."
"E ch’e’ vorrà far lor una domanda,","Er wird ihnen eine Frage stellen,",Er wird ihnen eine Frage stellen wollen.
"La qual fornita converrà che•ssia,","Es wird erwartet, daß die","Dieses muß, wenn es geliefert wird, unerläßlich sein,"
"D’abatter il castel di Gielosia,","Um das Schloss von Gielosia zu zerstören,","Demolieren, vernichten, das Schloss von Gielosia niederreißen."
Sì ch’e’ non vi dimori inn-uscio banda.,"damit es keine böse Bande mehr gibt, die euch beherbergt.","Damit es keine kriminelle Gruppe mehr gibt, die dort wohnt."
"Al giorno ciaschedun si presentò,","Am großen Tag traten alle auf,","Bei dem großen Ereignis wurden alle materialisiert,"
Presto di far il su’ comandamento;,"bereit, seinen Befehl auszuführen;","bereit, Ihrer Bestellung zu gehorchen."
Dell’armadure ciaschedun pensò,Jeder hat über seine Arme nachgedacht.,Alle haben über die Glieder nachgedacht.
Per dar a Gielosia   pene e tormento.,um Eifersucht zu quälen und Eifersucht zu geben.,Um Eifersucht und Neid zu erzwingen.
"La Baronia   i’ sì vi nomerò,","Die Baronie, die ich im Sinn habe,","Die Baronie, die ich im Kopf habe,"
Secondo ched i’ ò   rimenbramento.,"Ich ernenne dich nach dem, was ich im Gedächtnis habe.","Ich werde dich so gestalten, wie ich es mir vorstelle."
"Madonna Oziosa venne la primiera,","Madonna Oziosa kam zuerst,",Zuerst kam Mrs. Pigra.
"Con Nobiltà-di-Chuor, e con Richezza,","mit Adel des Herzens und Richezza,","mit Adel des Herzens und Richezza,"
"Franchigia, Cortesia, Pietà, Largheza,","Barmherzigkeit, Höflichkeit, Barmherzigkeit, Großzügigkeit,","Höflichkeit, Güte, Barmherzigkeit, Großmut."
"Ardimento, e Honor: ciaschedun v’era.","Kühnheit und Ehre, wer auch immer da war","Wut und Lauterkeit, wer auch immer da war"
"Diletto et Conpagnia seguian la schiera,","Geliebte und Gefährtin folgten der Schar,",Freude und Gesellschaft begleiteten die Prozession.
"Angielicanza, Sicurtà, et Leteza,","Angielicanz, Sicherheit, und Letizia,","Predigertum, Schutz, und Freude."
"E Solazo, e Bieltate, e Giovaneza",und Freude und Schönheit und Jugend,"Freude, Pracht und Jugend"
Andavan tutte inpresso la bandera.,Sie waren alle unter der Flagge.,Sie gingen unter dem Banner zusammen.
"Ancor v’era   Humiltate, e Pacienza,","Es gab auch Demut und Geduld,",Es gab auch Bescheidenheit und Toleranz.
"Giolività vi fue, e Ben-Cielare,","Es war Freude, und gut-Kiefer","Es war Letizia, und Günstig."
E Falsenbiante e Costretta-Astinenza.,Und Falz und Zwangsabstinenz.,Mendacia und Zwangsabstinenz.
"Amor si cominciò a maravigliare,","Liebe begann sich zu wundern,","Liebe fing an, sich zu wundern."
"Po’ vide Falsenbiante in sua presenza,","Und er sah den Irrtum in seiner Gegenwart,",Dann sah er die Ingnade in seiner Gegenwart.
E disse: «Chi•ll’à tolto a sichurare?».,"Und er sagte: ""Wer hat sie zur Sicherheit hergebracht?","Und er fragte: ""Wer hat sie in Sicherheit gebracht?"""
"Astinenza Costretta venne avanti,","Abstinenz kam nach vorn,","Erzwungene Abstinenz, die im Vordergrund stand."
"E disse: «E’ vien comeco in conpagnia,","Und er sagte: ""Er kommt in Gesellschaft,","Er sagte: ""Komm mit."""
"Ché sanza lui civir non mi poria,",Denn ohne ihn könnte ich nicht leben.,Denn ohne ihn könnte ich nicht überleben.
"Tanto non pregherei né Die, né ’ santi;",Ich würde weder Gott noch die Heiligen beten.,Ich würde weder zum Göttlichen noch zu den Seligen beten.
"E’ me e sé governa co’ senbianti,","Er ist es, und er selbst regiert mit dem Schein,","Er ist es, und er passt sich an."
"Che gli ’nsegniò sua madre, Ipocresia.","Er lehrte ihn seine Mutter, Hypochrisia.","Dass seine Mutter ihm beigebracht hat, Schwindler."
I’ porto il manto di Papalardia,Ich trage den Mantel von Papalardia,Ich trage Papalardias Umhang.
"Per più tosto venir, a tenpo, a’ guanti.",Um rechtzeitig zu den Handschuhen zu kommen.,"Um schneller, rechtzeitig, zu den Handschuhen zu gelangen."
E così tra noi due ci governiamo,Und so regieren wir uns gegenseitig.,Und so sehen wir uns gegenseitig an.
E nostra vita dimenian gioiosa,Und unser Leben ist freudig,Wir verbringen unser Leben fröhlich.
"Sanza dir cosa   mai, che noi pensiamo.","Sag nie, was wir denken.",Ohne jemals unsere Gedanken zum Ausdruck zu bringen.
"La ciera nostra par molto pietosa,",Unser Gesicht sieht sehr erbärmlich aus.,"Unser Ausdruck ist sehr mitfühlend,"
"Ma nonn-è mal nesun, che non pensiamo.","Aber es ist nicht schlecht an keinem von uns, die wir nicht denken.","Aber in keinem von uns gibt es einen Fehler, den wir nicht in Betracht ziehen."
Ben paia•noi giente relegiosa».,Sie wird von religiösen Leuten gut aufgenommen.,Er wird von gottesfürchtigen Menschen gut geachtet.
"Lo Dio d’Amor sorise, quando udio","Gott der Liebe lächelte, als er hörte","Götter der Liebe flehte er, als er zuhörte"
"Astinenza-Costretta sì parlare,","Abstinenz-Kräfte so zu sprechen,",Abstinenz-Bewegung auf diese Weise auszudrücken.
E disse: «Qui à giente d’alt’affare!,"Und er sagte: ""Hier sind sehr wichtige Leute!","Und er sagte: ""Hier sind große Leute!"
"Dì, Falsenbiante, se•tt’aiuti Idio,","Sag, Falsenbiant, wenn du von Gott unterstützt wirst,","Sprich, Falsenbiant, wenn du von Gottheiten unterstützt wirst."
"S’i’ ti ritengnio del consiglio mio,","Wenn ich dich in meinem Rat behalte,","Wenn ich dich in meinen Rat einsetze,"
Mi potrò io   in te punto fidare?».,Kann ich dir irgendwie vertrauen?,Kann ich dir irgendwie vertrauen?
"«Segnior mio,   sì, di nulla non dottare,","Mein Herr, ja, enttäusche mich nie,","Mein Souverän, ja, verlass mich nie."
Ch’altro c’a lealtà ma’ non pens’io».,Weil mir nichts lieber ist als Loyalität.,Weil nichts wertvoller ist als Treue.
«Dunqu’è cotesto contra tua natura».,Dann geht das deiner Natur zuwider.,Dann steht das im Gegensatz zu deinem Wesen.
"«Veracie mente ciò è veritate,","Ehrlich gesagt, das ist Wahrheit,","Wahrlich, ehrlich gesagt, das ist eine Tatsache."
Ma tuttor vi mettete inn-aventura!,Aber du bringst dich immer in Gefahr!,Doch Sie setzen sich immer dem Risiko aus!
"Mai i•lupo di sua pelle non gittate,","Nie nimmt der Wolf seine Haut ab,",Der Wolf zieht nie seinen Pelz aus.
"No•gli farete tanto di laidura,",Ihr werdet ihm nicht so wehtun.,Sie werden ihm keinen großen Schmerz geben.
Se voi in prima no•llo scorticate».,Wenn Sie ihn sofort schlüpfen lassen.,Schälen Sie ihn sofort.
"Amor disse a’ baroni: «I’ v’ò mandato,","Und Liebe sprach zu den Baronen: Ich habe euch gesandt,","Und Liebe sprach zu den Baronen: Ich habe euch gesandt,"
"Perch’e’ convien ch’i’ agia il vostro aiuto,","Weil ich eure Hilfe brauche,","Weil ich eure Unterstützung brauche,"
"Tanto che quel castel si’ abattuto,",Um das Schloss zu stürzen,"Demolieren, zerstören, zerbrechen, stürzen."
Che Gielosia di nuovo à già fondato.,Dass Eifersucht bereits rekonstruiert hat.,Dass Invidia bereits rekonstituiert hat.
"Onde ciaschun di voi è misurato,","Darum ist jeder von euch berufen,",Daher ist jeder von euch eingeladen.
S’i’ vi richegio ch’e’ sia proveduto,"Wenn ich Sie darauf wette, dass Sie dafür sorgen...","Ich bitte darum, dass es erledigt ist."
