Original,Translate,Translate_GPT_1
"Dadi-gittante, che•ttu mai trovassi.",données géantes que je n'ai jamais vues,d'énormes données que je n'avais jamais vues
"S’a coderon giocaste, pignia anbassi,","Et si vous jouez au coderon, lancez occh,","Si vous jouez au coderon, lancez un coup d'œil."
E fa ched ella sia là vincitore.,et qu'elle soit le vainqueur,Et tu la rends gagnante.
"Della tua perdita non far sentore,",Ne fais pas sentir ta perte.,N'essaie pas de prouver ton absence.
Ma che cortesemente la ti passi.,Mais quel genre de gentillesse vous passe-t-il ?,C'est gentil de ta part.
"Falla seder ad alti, e•ttu sie basso,","Asseyez-la dans un haut endroit, et vous en bas,","Asseyez-la dans un lieu élevé, et vous en bas."
"E sì•ll’aporta carello, o cuscino:",et apporte une carelle et un coussin;,et transporter un chariot et un oreiller.
Di le’ servir non ti veghi mai lasso.,Il ne l'a jamais laissée te voir fatigué de la servir.,Il ne lui a jamais permis de te voir épuisé de la servir.
"S’adosso le vedessi un buscolino,",Si je devais voir un point sur elle...,Si je voyais une petite tache sur elle...
"Fa che glie•levi, e se vedessi sasso,","Assurez-vous de le brosser, et si vous devriez voir une pierre","Assurez-vous de brosser, et si vous devriez regarder un rocher."
"Là ’v’ella dé passar, netta ’l camino.","Là où il doit marcher, il brosse le sentier.","où il doit aller, nettoyer le trajet."
A sua maniera ti mantien tuttora:,"À sa façon, il te garde toujours.",De façon particulière encore vous conserve
"Che s’ella ride, ridi, o balla,   balla,","Si elle rit, tu ris, ou si elle danse, tu danses.","Si elle sourit, tu ris, ou si elle danse, tu danses."
"O s’ella piangie, pensa   a consolalla,","Et s'il pleure, pense et console-la,","S'il pleure, réfléchis et réconforte-la."
Ma fa che pianghe tu sanza dimora.,Mais assurez-vous de pleurer sans tarder.,Mais assurez-vous de pleurer sans retard.
"E se con altre done fosse ancora,",et si avec d'autres femmes elle était encore,"Et si avec d'autres filles encore,"
"Che giocasero al gioco della palla,",qui jouaient au jeu de la balle,qui s'amusaient avec le jeu de la balle
"S’andasse lungi, corri ad aportalla.","Vous devriez aller loin. Coeurs, ramenez-le à vous.","Ça devrait avancer, le ramener à vous."
A•lle’ servir tuttor pensa   e lavora.,Il pense toujours qu'il la sert et qu'il travaille.,Pensez toujours à l'aider et à l'œuvre
"E se vien alcun’ or   ch’ella ti tenza,",Et si le moment arrive où il se dispute avec toi...,S'il arrive le moment où il se heurte à toi...
"Ch’ella ti crucci sì, che•ttu le dài,","Ou quand tu es si en colère que tu la frappes,","Quand elle t'énerve tellement que tu la frappes,"
"Imantenente torna ad ubidenza,","Retourne les obéir,",Reviens les obéir immédiatement.
"E giurale che ma’ più no ’l farai,",et jure-lui que tu ne le referas plus jamais.,Promets-lui que tu ne recommenceras jamais.
Di quel ch’ài   fatto farai   penitenza:,Tu vas faire pénitence pour ce que tu as fait.,Décompter ta culpabilité pour ce que tu as fait.
"Prendila e falle il fatto, che•tti sai.",Attrapez-la et faites-lui ce que vous faites le mieux !,Attrapez-la et faites ce que vous savez faire le mieux !
"Sovr’ognie cosa pensa di lusinghe,","Pense à toutes les flatteries,",Pense à tous les compliments.
"Lodando sua maniera, e sua fazone,","en louant ses bonnes manières et son apparence,",en louant sa courtoisie et son apparence.
"E che di senno passa Salamone,",et comment Salomon passe avec sagesse;,et comment Salomon procède avec sagesse.
Con questi motti vo’ che•lla dipinghe.,"Par ces mots, je veux que tu la décris.","Par ces mots, je veux que tu la dises."
Ma guarda non s’avega che•tti’nfinghe,Il ne savait pas que tu faisais semblant.,Il ne savait pas que tu faisais semblant.
Ché non v’andresti mai a prociessione:,"parce que tu n'irais jamais en procession,",Pourquoi n'irais-tu jamais en cortège ?
Non ti varebe lo star ginochione.,Et tu n'aurais pas besoin d'être à genoux.,Ce ne serait pas utile de s'agenouiller.
"Però quel lusinghar fa che tu ’l tinghe,","Mais ce flatteur fait en sorte que vous le teigniez,","Mais cet adorable fait en sorte que tu le considères,"
"Chéd e’ n’è ben alcuna sì viziata,",Parce qu'il n'y a rien d'aussi vicieux.,Pourquoi n'y a-t-il rien d'aussi corrompu ?
Che non crede giamai ta’ favolelle,"qui ne croit jamais à de telles histoires,",qui ne fait jamais confiance à de tels récits.
Per c’altra volta n’è stata   beffata;,parce qu'elle avait été ridiculisée une fois,"Parce qu'une fois, on l'avait ridiculisée."
"Ma queste giovanette damigielle,",Mais ces jeunes demoiselles d'honneur,Ces jeunes filles
"Chu’ la lor terra non n’è stata   arata,",que leur terre n'a pas été labourée,que leur terre n'a pas été cultivée
Ti crederanno ben cota’ novelle!,Ils te croiront bien à ces nouvelles.,Ils t'honoreront bien avec ces nouveaux mots.
"Se•ttu ài altra amica procacciata,","Si tu as une autre amie,",Si tu as une autre amie.
"O ver che•ttu la guardi a procaciare,","Ou que tu la regardes pour la trouver,","Que tu la regardes pour la trouver,"
E sì non vuo’ per ciò abandonare,et vous ne voulez pas pour cela abandonner,Vous ne voulez pas abdiquer pour cela.
"La prima, chu’ à’ lungho tenpo amata,",la première que longtemps aimée,La bien-aimée à long terme.
"Se•ttu a la novella à’ gioia donata,",Si tu as donné la joie à la nouvelle,Si tu as donné de la joie à la jeune fille.
Sì dì ch’ella la guardi di recare,Dis-lui que tu la regardes pour qu'elle revienne.,Dis-lui que tu la regardes pour la rétablir.
"In luogo, ove la prima ravisare",dans un endroit où la première rencontre,Dans un endroit où la première remarque
"No•lla potesse, ché seria ’smenbrata.","Elle ne pourrait pas faire ça, parce qu'elle serait détruite.","Elle ne pourrait pas faire ça, parce qu'elle serait anéantie."
"O s’ella ancor ne fosse in sospezone,",ou s'il était encore suspect,si elle était encore douteuse
"Fa saramenta ch’ella t’aggia torto,",Fais en sorte qu'elle ait tort.,faire paisiblement que vous vous trompiez
C’unque ver’ lei non fosti in mesprigione;,quiconque envers elle n'était pas dans le mépris,n'importe qui envers elle n'était pas en défaveur.
"E s’ella il pruova, convien che sie acorto","Et si vous les essayez, vous devriez être prudent.","Si vous les expérimentez, il est important qu'elle soit vigilante."
"A dir, che forza fu, e tradigione:","à dire, quelle force il fut, et la trahison","à déclarer, quelle était sa vigueur, et l'infidélité"
Allor la prendi e sì•lle innaffia l’orto.,Alors prends-la et elle arrose le potager.,Alors achetez-la et vous irriguerez le jardin.
"E se•ttua donna cade in malatia,",et si ta femme tombe malade,Et si ta compagne tombe malade
"Sì pensa che•lla faccie ben servire,","Assurez-vous que vous avez bien servi,",Assurez-vous que vous avez bien satisfait.
Né•ttu da•llei giamai non ti partire.,Et tu ne t'éloigneras jamais d'elle.,Et tu ne te sépareras jamais d'elle.
"Dàlle vivanda, c’a piacier le sia,","Donne-lui de la nourriture, qu'elle aime","Offrez-lui de la nourriture, que cela vous plaise."
"E po’ sì•lle dirai: “Anima mia,","Et tu lui diras: ""Mon âme,","""Et tu lui diras: ""Mon cœur,"
Istanotte ti tenni in mio dormire,"Hier soir, dans mon rêve, je t'ai gardé.","Hier soir, dans mon rêve, je t'ai fait un câlin."
"Intra.lle braccia sana, al me’ disire:","dans mes bras sains, à mon désir:","dans mes bras sains et saufs, à mon désir."
"Molto mi fecie Idio gran cortesia,","Dieu m'a fait une grande faveur,",Dieu m'a donné une grande gentillesse.
Che mi mostrò sì dolze avisione”.,qui m'a montré une vision si douce.,qui m'a donné une vue si tendre.
"Po’ dica, ch’ella l’oda, come sagio,","Puis dites-lui que vous l'écoutez, comme un sage,","Ensuite, vous dites que vous l'écoutez, comme un sage."
"Che per lei fara’ far gran prociessione,",qui pour elle fera une grande procession,qui pour elle fera un grand défilé
"O•ttu n’andra’ in lontan pellegrinagio,","ou que tu ailles dans un long pèlerinage,","que tu t'engages dans un long voyage,"
Se Giesocristo le dà guerigione.,si Jésus-Christ la guérit.,si Jésus-Christ prend soin d'elle.
"Così avrai il su’ amor, e ’l su’ coragio».","Ainsi, tu auras son amour et son courage","De cette façon, vous obtiendrez son affection et son audace."
"Quand’ebi inteso Amico, che leale","Quand j'ai entendu Ami, quel fidèle","Quand j'ai entendu Ami, quel fidèle"
"Consiglio mi dava, a su’ podere,","Il me conseillait, à son pouvoir.","Il me donnait des conseils, de son mieux."
"I’ sì•lli dissi: «Amico, il mi’ volere","Je lui ai dit, mon ami, ma volonté","Je lui ai dit: Camarade, mon désir"
"Non fu unquanche d’esser disleale,",Il ne devait jamais être déloyal.,Il ne devait jamais être trompeur.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",Dieu n'aime pas que je sois conduit à cela.,Qu'il ne soit pas permis à Dieu que je sois conduit à une telle chose.
"Ch’i’ a le gienti mostri benvolere,",que je montre de la bonté aux gens,que je montre de la courtoisie aux gens
"E servali del corpo, e dell’avere,",et les serviteurs du corps et de l'avoir,et employés du corps et de la richesse
Ched i’ pensase poi di far lor male.,Et j'aurais pensé leur faire du mal.,Et j'aurais pensé lui faire du mal.
Ma sòffera ch’i’ avante disfidi,"Mais avant tout, laissez-moi vous défier.","Tout d'abord, laissez-moi vous défier."
"E Mala-Bocca, e tutta sua masnada,","Malabocia et toute sa bande,",Malignité et son groupe.
"Sì che neuno in me giamai si fidi,",Que personne en moi ne me fasse confiance,Que personne en moi ne se confie jamais
Po’ penserò di metterli a la spada».,Je les mettrai à l'épée.,Alors j'ai l'intention de les armer par l'épée.
"Que’ mi rispuose: «Amico, mal ti guidi:","qui me répondit: ""Mec, mais tu te trompes:","Il m'a répondu: ""Compagne, mais tu as tort:"
Cotesta sì nonn-è la dritta strada.,Ce n'est pas la bonne voie.,Ce n'est pas le bon chemin.
"A te sì non convien far disfidaglia,",Ce n'est pas à toi de relever ce défi.,Ce n'est pas à toi de relever ce défi.
Se•ttu vuo’ ben civir di questa guerra.,Si tu veux bien mettre fin à cette guerre.,Si tu veux bien finir cette guerre.
"Lasciala far a’ gran’ signior’ di terra,",Laisse-la faire aux grands maîtres de la terre,Permettre aux souverains de la terre.
Che posson soferir oste e battaglia.,qui peuvent se permettre l'armée et les batailles!,Qui peuvent financer l'armée et les escarmouches!
"Mala-Bocca, che così ti travaglia,","Malabocia, qui te hante comme ça,","Malaise, qui t'afflige,"
È traditor: chi ’l tradiscie non erra.,C'est un traître: celui qui le trahit ne se trompe pas;,C'est un infidèle: ceux qui le déshonorent ne commettent pas d'erreur.
"Chi con falsi senbianti no•ll’aferra,","qui ne l'attrape pas par de fausses apparences,",qui ne le trompe pas par de fausses prétentions.
Il su’ buon giocho mette a ripentaglia.,Il met en danger son bon jeu.,Il menace sa réputation.
"Se•ttu lo sfidi, o batti, e’ griderà,","Si vous le défiez ou le frappez, il criera,","Si vous le défiez ou l'attaquez, il hurlera."
Chéd egli è di natura di mastino:,parce qu'il est d'une nature méchante,Parce qu'il est de nature tenace
"Chi più ’l minaccia, più gli abaierà.","Celui qui le menace le plus, plus il l'aboiera.","Celui qui le menace le plus, le hurle."
"Chi Mala-Bocca vuol metter al chino,",Quiconque veut conquérir Malabocia,Quiconque désire soumettre Malabocia
"Sed egli è sagio, egli•lusingherà:","le flattera, s'il est sage,","Il va l'adorer, s'il est sage."
Ché cierto sie quell’è ’l dritto camino».,qu'il est certain que c'est la bonne voie.,qu'il est inouï que c'est la voie appropriée.
"«Po’ mi convien ovrar di tradigione,","""Puis je ferais mieux d'opérer de tradition,","""Puis je ferais mieux d'agir selon la coutume,"
"E a•tte pare, Amico, ch’i’ la faccia,","Et tu as l'air, mec, que je le fasse,","Il te semble, camarade, que je le fasse."
"I’ la farò,   come ch’ella mi spiaccia,","Je vais le faire, comme si je ne l'aimais pas.",Je le ferai malgré mon désaccord.
Per venir al di su di quel cagnione.,Pour monter au-dessus de ce chien.,Pour surmonter ce chien.
"Ma sì•tti priego, gientil conpagnione,","Mais s'il te plaît, gentil camarade,","S'il te plaît, aimable camarade,"
"Se•ssai alcuna via, che•ssia più avaccia,","s'il y a une voie, qu'elle soit plus rapide","S'il y a un chemin, qu'il soit plus rapide"
"Per Malabocca e suo’ metter in caccia,",pour chasser Malabocia et les siens,Exorciser Malabocia et ses
"E trar Bellacoglienza di pregione,",Et libérer Bell accueil de prison,Et libérer Bell de la prison
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Que tu me l'apprennes et que j'y aille.,Que tu me l'apprennes et que je m'en aille.
"E menerò   comeco tal aiuto,",et j'apporterai une telle aide initiale,et je fournirai un tel soutien initial
Ched i’ quella forteza abatterò».,"Parce que cette forteresse, je l'adorerai.",Parce que cette forteresse s'est effondrée.
"«E’ nonn-à guari ch’i’ ne son venuto»,","""Ce n'est pas grand-chose que je suis venu de là.""",Ça fait peu de temps que je suis arrivé par là.
"Rispuose Amico, «ma ’l ver ti dirò,","répondit l'Ami, mais je te dirai la vérité,","L'ami a répondu, mais je vais te révéler la réalité."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","Si j'y suis allé, je l'ai regretté.","que si j'y suis allé, je suis désolé"
"S’uom apella il camin Troppo-Donare,",Si un homme appelle la cheminée Trop-Donner,Si un homme appelle la cheminée Abondance-Cadeau.
"E’ fu fondato per Folle-Largheza,",a été construit pour Folle-Largeza,Il a été édifié pour Extrema-Ampliezza
"L’entrata guarda madonna Richeza,",l'antrate regarde Madonna Richesse,L'entrée observe Madame Abondance.
"Che non i lascia nessun huon passare,",Qui ne laisse aucun homme passer,Qui ne permet à aucun homme de passer.
"S’e’ nonn-è su’ parente, o su’ conpare,","Si vous n'êtes pas de votre famille, ou votre ami.","Si ce n'est pas un de ses consanguins, ou son ami"
"Già tanto nonn-avrebe in sé belleza,","Peu importe la beauté qu'il peut avoir,","Peu importe à quel point elle peut être attirante,"
"Cortesia, né saver, né gientileza,","De l'aimableté, de la connaissance, de la bonté","De l'aimableté, de la connaissance, de la bonté"
Ched ella gli degniasse pur parlare.,qu'elle lui daigne juste parler.,Que vous lui accordiez seulement de parler.
"Se puo’ per quel camin trovar   passagio,",si ce chemin peut trouver un passage,Si ce chemin peut trouver une voie d'accès.
"Tu•ssì abattera’ tosto il castello,",Tu vas bientôt abattre le château.,Tu vas bientôt démolir le manoir.
"Bellacoglienza trarà’ di servagio,",Beau accueil sortira de la servitude,"Libération, extraction, hospitalité."
"Non vi varrà gittar   di manganello,",Il ne vous sera pas utile de lancer des matraques,Il ne vous sera pas utile de jeter des bâtons
"Néd a le guardie lor folle musagio,",Ni à leurs gardiens fous d'amusement,Ni à leurs gardes fous de joie
"Porte, né mura, né trar   di quadrello.","Portes, ni murailles, ni tirs de quadreau","Portes, ni murailles, ni traîtres"
"Or sì•tt’ò detto tutta la sentenza,","Maintenant, toute la sentence est prononcée.",L'arrêt dans son ensemble a maintenant été rendu.
Di ciò che•ssagio Amante far   dovria.,de ce qu'un amant sage devrait faire:,de ce qu'un amoureux sage devrait faire
"Così l’amor di lor guadagnieria,",ainsi l'amour leur gagnera,ainsi l'affection leur procurera
"Sanz’aver mai tra•llor malivoglienza,",Sans avoir d'amitié entre eux,Sans alliance entre eux
"Se mai trai di pregion Bellacoglienza,","Si tu libères Bell de la prison,","Si tu libères Bellaccoglienca de la prison,"
"Sì fa che•ttu ne tenghi questa via,",Fais que tu gardes cette voie.,Assurez-vous de suivre cette voie.
"Od altri menti mai non t’ameria,","Sinon, il ne t'aimerait jamais.","Sinon, il ne l'aimera jamais."
Che ch’ella ti mostrasse in aparenza.,Qu'il te montre en apparence,Qu'il te prouve extérieurement
"E dàlle spazio di poter andare,",Et lui donner la liberté de partir.,Lui donner la liberté de bouger.
"Colà, dove le piacie, per la villa;",partout où vous aimez la ville;,Où qu'elle aime la ville.
Pena perduta seria   in le’ guardare:,la peine de regarder serait perdre,La conséquence d'observer serait de se disperser.
Ché•ttu teresti più tosto un’anguilla,Parce que tu garderais un anguille plus serré.,Parce que tu serrerais plus fort une anguille
"Ben viva per la coda, e fossi in mare,","bien vivante par la queue, même si vous étiez en mer,","Bienvenue par la queue, même si vous étiez dans l'océan."
"Che non faresti femina, che ghilla».","Qu'est-ce qu'une femme ne ferait pas, idiote ?","Ce qu'une femme ne ferait pas, idiote."
"Così mi confortò il buon Amico,",C'est ainsi que mon bon ami m'a réconforté.,C'est ainsi que mon ami bienveillant m'a consolé.
"Po’•ssi partì da me, sanza più dire.",Puis il est parti sans un autre mot.,Puis il est parti sans une autre phrase.
"Allor mi comincià’ fort’ a giechire,","À ce moment - là, j'ai commencé à être très humble.","À ce moment - là, j'ai commencé à être très humilié."
"Ver’ Mala-Bocca, il mi’ crudel nemico;","vers Malabocia, mon ennemi cruel.","Vers le méchant, mon ennemi impitoyable."
"Lo Schifo i’ sì pregiava   men ch’un fico,",Je me foutais de la Résistance.,Je ne m'intéressais pas à la Résistance.
Ch’egli avea gran talento di dormire;,qui avait un grand désir de dormir;,qui avait un grand désir de se reposer.
Vergognia si volea ben sofferire,Modernité voulait vraiment s'abstenir,L'humilité désirait sincèrement s'abstenir
"Di gueregiarmi, per cierto vi dico,","Pour m'avoir combattu, je te le dis.","Pour m'avoir combattu, je te le promets."
"Ma’ e’ v’era Paura, la dottosa,","Mais il y avait la peur, le craintif,","Il y avait l'anxiété, l'anxiété."
"C’udendomi parlar tutta tremava,","qui, m'écoutant parler, tremblait partout:","qui, pendant qu'il m'écoutait parler, frémissait dans chaque fibre."
"Quella nonn-era punto dormigliosa,",qu'on n'était pas endormi du tout;,que l'on n'était pas du tout ennuyé.
"In ben guardar il Fior molto pensava,","elle a pris beaucoup de soin de garder la Fleur,",Une grande attention a été accordée à la conservation de la Fleur.
"Vie più che•ll’altre guardi’ era curiosa,","et elle était plus curieuse que les autres gardes,",et plus intéressée par les autres sentinelles.
Perciò che ben in lor non si fidava.,Depuis qu'il ne leur faisait pas confiance.,Depuis qu'il n'avait pas confiance en eux.
"Intorno dal castello andai ciercando,",Tout autour du château je suis allé chercher,"Tout autour du manoir, je suis allé enquêter."
"Sed i’ potesse trovar quel’entrata,",Si je pouvais trouver cette entrée,Si je pouvais localiser cette porte
"La qual Folle-Largheza avea fondata,",qui Forte-Largeza avait fondé,dont la robustesse avait été mise en place
"Per avacciar ciò, che giva pensando.",pour accélérer ce que je pensais.,"Accélérer, ce que je méditais."
"Allor guardai, e sì vidi onbreando","Puis j'ai regardé, et j'ai vu dans l'ombre.",Alors j'ai regardé dans les ténèbres.
"Di sotto un pin una donna pregiata,","sous un pin, une femme digne,","Sous un sapin, une femme digne de respect."
"Sì nobil mente vestita e parata,",si noble habillée et ornée,Magnifiquement attirée et ornée
Che tutto ’l mondo gìa di lei parlando.,que le monde entier parlait d'elle.,que tout le monde parlait d'elle.
"E sì avea in sé tanta beleza,",et elle avait en elle tant de beauté,Elle était douée d'un grand charme.
Che tutto intorno lei aluminava,qui a tout éclairé autour d'elle,qui a tout risqué autour d'elle
"Chol su’ visagio, tanto avea chiareza.","avec son visage, il avait tellement de clarté;","Avec son visage, beaucoup de transparence avait."
Ed un suo amico co•llei si posava.,et un de ses amis qui était avec elle,et un de ses compagnons qui avec elle était
"La donna si avea nome Richeza,",La femme s'appelait Richeza.,La femme s'appelait Abondance.
Ma•llui non so com’altri l’apellava.,Mais je ne sais pas comment il s'appelait.,"Cependant, je ne connaissais pas son nom."
"Col capo inchino la donna salutai,",J'ai dit au revoir à la femme qui avait la tête baissée.,J'ai salué la femme avec une inclination.
E sì•lla cominciai   a domandare,Et j'ai commencé à lui demander,J'ai commencé à lui demander.
"Del camin, c’uomo apella Tropo-Dare.",du sentier appelé Tropo-Dare.,du chemin qui s'appelle Tropo-Essayer.
Quella rispose: «Già per me no ’l sai,Elle répondit: Tu ne le sauras pas de moi;,Elle répondit: Tu ne l'apprendras pas de moi.
"E, se ’l sapessi, già non vi ’nterrai,","Et si tu le savais, tu n'entrerais jamais,","Et si tu le connaissais, tu n'entrerais jamais."
Chéd i’ difendo a ciaschedun l’entrare,"parce que j'interdis l'entrée de tous,",Parce que j'interdis l'accès à tout le monde.
Sed e’ nonn-à che spender e che dare.,Mais vous devez dépenser et donner.,Mais vous devez investir et distribuer.
"Sì farai   gran saver, se•tte ne vai:","Donc, si tu es intelligent, tu t'en vas,","Donc, si tu es sagace, tu t'en vas."
"C’unquanche non volesti mi’ acontanza,",Si jamais tu ne veux pas de ma compagnie,Si jamais tu ne désires pas ma présence
Né mi pregiasti mai  a la tua vita.,Tu ne m'as jamais félicité dans ta vie.,Tu ne m'as jamais félicité dans ta vie.
"Ma or ne prenderò buona vengianza,","Mais maintenant, je vais prendre ma douce vengeance:",Je vais prendre ma douce revanche.
"Ché, sie ciertano, se•ttu m’ài   schernita,","afin que vous soyez certains que vous m'avez méprisé,","Parce que vous êtes absolument convaincus si vous m'avez dédaigné,"
"I’ ti darò tormento e malenanza,","Je te tourmenterai et te châtierai,",Je t'affligerai et je te rendrai triste.
Sì ch’e’ me’ ti varia avermi servita».,Ce serait mieux pour vous de m'avoir servie.,Ce serait mieux pour vous de m'avoir accueilli.
"«Per Dio, gientil madonna, e per merzede»,","Pour l'amour de Dieu, gentille dame, et pour la miséricorde,","Pour le divin, gentille dame, et par pitié."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Je lui ai dit alors, si je t'ai fait du mal,","Je lui ai dit alors, si je t'ai causé de la douleur,"
Ched e’ vi piaccia ched e’ sia amendato,"Ce que vous aimez, ce qui est correct","Ce que vous aimez, que ce soit approprié"
"Per me, chéd i’ ’l farò a buona fede:","pour moi, parce que je le ferai de bonne foi.","Pour moi, car je le ferai avec sincérité."
"Ch’i’ son ciertan, che ’l vostro cuor non crede",Parce que je suis sûr que votre cœur ne croit pas,Parce que je suis sûr que votre cœur ne croit pas
"Com’io dentro dal mio ne son crucciato,","Comme dans le mien, j'en suis affligé.","comme dans le mien, j'en suis affligé."
"Ma quando vo’ m’avrete ben provato,",Mais quand tu me testeras,Quand vas-tu me tester ?
"E’ sarà cierto di ciò, c’or non vede.",Et il sera certain de ce qu'il ne voit pas maintenant.,Il sera inexplicable de ce qui n'est pas visible maintenant.
"Per ch’i’ vi priego, che mi diate il passo,","C'est pourquoi je vous en prie, laissez-moi passer.","Je t'en supplie, laisse-moi passer."
Ched i’ potesse abatter il castello,Pour que je puisse abattre le château.,"De cette façon, je peux démolir le manoir."
"Di Gielosia, che m’à sì messo al basso».","de jalousie, qui m'a déposé.","d'envie, qui m'a placé."
Quella mi disse: «Tu•ssè mio ribello:,"Il m'a dit: ""Tu es mon ennemi;","Il m'a dit: ""Tu es mon adversaire;"
"Per altra via andrai, ché sarà’ lasso","le long d'un autre chemin, tu iras, car tu seras épuisé.","dans une autre voie, tu iras, car tu seras épuisé."
Inanzi che n’abatti un sol crinello».,avant d'abattre un seul merle de la tour,Avant de démolir un merle de la tour
"Già no•mi valse nessuna preghera,",Je n'ai fait aucune prière.,Je n'ai pas fait de supplication.
"Ched i’ verso Richeza far potesse,","que j'aurais pu faire vers Richeza,","Que j'aurais pu offrir à Richesse,"
"Ché poco parve ch’e’ le ne calesse,","parce qu'elle semblait s'en soucier peu,",Parce qu'elle avait l'air indifférente.
Sì•lla trovai ver’ me crudel e fera.,"Si cruelle, je l'ai trouvée vers moi.",Je l'ai trouvée impitoyable envers moi.
"Lo Dio D’Amor, che guar’ lungi non m’era,","Le Dieu de l'Amour, qui n'était pas loin de moi,","Le divin de l'affection, qui n'était pas loin de moi,"
"Mi riguardò com’io mi contenesse,",Il a regardé comme je m'en sortais.,Il a examiné comment j'agissais.
E parvemi ched e’ gli ne incresciesse;,Et j'avais l'impression qu'il l'ennuyait.,Et j'avais l'impression qu'il l'ennuyait.
"Si venne a me e disse: «In che manera,","Il est venu me voir et m'a dit: ""Comment,","Il est venu me voir et m'a dit: ""Comment,"
"Amico, m’ài guardato l’omanagio,","Mec, tu as tenu ton serment.","Mec, tu as tenu ta promesse."
"Che mi faciesti, passat’à un anno?».",Tu m'as fait ça il y a un an ?,Qu'est-ce que tu m'as fait il y a un an ?
"I’ gli dissi: «Messer, vo’ avete il gagio","Je lui ai dit: ""Seigneur, tu as ma promesse,","""Je lui ai dit: ""Son Excellence, j'ai donné ma parole,"
"Or, ch’è il core». «E’ non ti fia già danno,","Maintenant que c'est mon cœur, il ne te fera aucun mal.","Maintenant que c'est mon cœur, il ne te fera aucun mal."
Ché tu•tti sè portato come sagio:,"parce que tu as agi avec sagesse,","Puisque tu as agi prudemment,"
Sì avrai guiderdon del grande afanno».,Tu seras récompensé pour ta grande détresse.,Tu auras une récompense pour ta grande souffrance.
Lo Dio d’Amor per tutto ’l regnio manda,"Dans tout le royaume, le Dieu de l'Amour envoie","Dans tout le royaume, l'Être Suprême de l'Amour envoie"
Messagi e lettere a la Baronia:,les messagers et les lettres à tous les barons;,porteurs et épîtres à tous les messieurs.
"Che davanti da lui ciaschedun sia,",Qui que ce soit devant lui,Quiconque se trouve devant lui
"Ad alcun priega, e ad alcun comanda;",à certains demande et à certains ordonne,À quelqu'un qui pose des questions et à quelqu'un d'autre qui commande.
"E ch’e’ vorrà far lor una domanda,","Il voudra leur poser une question,",Il voudra leur poser une question.
"La qual fornita converrà che•ssia,","Ce qui, fourni, sera nécessaire,","Celle-ci, fournie, devra être indispensable,"
"D’abatter il castel di Gielosia,","Pour détruire le château de Gielosia,","Démolir, détruire, abattre le château de Gielosia."
Sì ch’e’ non vi dimori inn-uscio banda.,afin qu'il n'y ait plus de gang méchant qui y habite.,de sorte qu'il n'y ait plus de groupe criminel qui y habite.
"Al giorno ciaschedun si presentò,","Dans le grand jour, tous se présentèrent,","Dans le grand événement, tout le monde s'est matérialisé,"
Presto di far il su’ comandamento;,prêt à exécuter sa commande;,disponible pour obéir à son ordre.
Dell’armadure ciaschedun pensò,Tout le monde a réfléchi sur ses bras.,Tout le monde a médité sur les membres.
Per dar a Gielosia   pene e tormento.,pour donner à Jalousie tourment et jalousie.,Pour infliger l'affliction et l'envie à la jalousie.
"La Baronia   i’ sì vi nomerò,","La Baronia, que j'ai en tête,","La Baronia, que j'ai dans la tête,"
Secondo ched i’ ò   rimenbramento.,Je te nommerai selon ce que j'ai en mémoire.,Je vais te dessiner selon ce que j'ai en tête.
"Madonna Oziosa venne la primiera,","Madonna Oziosa est venue la première,",D'abord Mme Pigra est arrivée.
"Con Nobiltà-di-Chuor, e con Richezza,","avec Noblesse de Cœur, et avec Richesse,","avec Noblesse de Cœur, et avec Richesse,"
"Franchigia, Cortesia, Pietà, Largheza,","Cordialité, bonté, miséricorde, générosité,","Affabilité, bienveillance, compassion, Magnanimité."
"Ardimento, e Honor: ciaschedun v’era.",L'audace et l'honneur qui était là,L'ardeur et l'intégrité de tous ceux qui y étaient
"Diletto et Conpagnia seguian la schiera,","Bien-aimé et Compagnie suivaient la troupe,",Le plaisir et la société accompagnaient la procession.
"Angielicanza, Sicurtà, et Leteza,","Angélicance, Sécurité, et Letizia,","L'ecclésiastique, la protection, et la joie."
"E Solazo, e Bieltate, e Giovaneza",et Joie et Beauté et Jeunesse,"La joie, la splendeur et la jeunesse"
Andavan tutte inpresso la bandera.,Ils allaient tous ensemble sous le drapeau.,Ils continuaient ensemble sous la bannière.
"Ancor v’era   Humiltate, e Pacienza,","Il y avait aussi de l'humilité, et de la patience,","Il y avait aussi Umilezza, et Toleranza."
"Giolività vi fue, e Ben-Cielare,","il y eut Joie, et Ben-Ciel","Il y eut Letizia, et Favorable."
E Falsenbiante e Costretta-Astinenza.,et Falsité et Abstinence Force.,Mendacia et Abstinence Coatta.
"Amor si cominciò a maravigliare,",L'amour commença à s'émerveiller.,L'amour a commencé à s'étonner.
"Po’ vide Falsenbiante in sua presenza,","puis il vit la Falsité en sa présence,",Puis il a vu la tromperie en sa présence.
E disse: «Chi•ll’à tolto a sichurare?».,"et dit: ""Qui l'a emmenée ici à la sécurité?","Et il a dit: ""Qui l'a conduite ici en sécurité ?"""
"Astinenza Costretta venne avanti,",L'abstinence forcée est passée à autre chose.,Abstinence forcée émergé au premier plan.
