input|target
He was named after his grandfather.|Lui venne chiamato come suo nonno.
What kind of a funeral do you want?|Che tipo di funerale vuole?
You're not taking this seriously.|Non state prendendo questo seriamente.
Buffalo bones were made into tools.|Le ossa di bisonte sono state trasformate in strumenti.
We must not speak in the library.|Noi non dobbiamo parlare in biblioteca.
Where have you been all this time?|Dove sei stata tutto questo tempo?
How dare you speak like that to me!|Come osa parlarmi così!
Please tell us when dinner's ready.|Per piacere, ci dica quando è pronta la cena.
I was asked to give you a message.|Mi venne chiesto di darti un messaggio.
I'm honored to be working with Tom.|Sono onorata di lavorare con Tom.
Tom was the only one not laughing.|Tom era l'unico che non rideva.
Tom speaks French as well as you.|Tom parla il francese bene come te.
I've got no quarrel with you two.|Non ho alcuna divergenza con voi due.
Tom said that Mary had insulted him.|Tom disse che Mary lo aveva insultato.
We have a hectic week ahead of us.|Abbiamo una settimana movimentata davanti a noi.
Why did you want to learn French?|Perché voleva imparare il francese?
I'm going to do you a huge favor.|Ti farò un favore enorme.
You seem to be waiting for somebody.|Sembra che voi stiate aspettando qualcuno.
Why are you looking at me like that?|Perché mi stai guardando così?
I don't know very much about Boston.|Io non so molto su Boston.
He doesn't know how to ride a bike.|Lui non sa andare in bici.
I assume you are talking about Tom.|Assumo che tu stia parlando di Tom.
Maybe Tom should go to the doctor.|Forse Tom dovrebbe andare dal dottore.
Tom doesn't know what to do first.|Tom non sa che fare come prima cosa.
That isn't something to joke about.|Non è qualcosa su cui scherzare.
There are 30 students in our class.|Ci sono 30 studentesse nella nostra classe.
Do you know a man named Tom Jackson?|Conosce un uomo che si chiama Tom Jackson?
I don't always do the right thing.|Non faccio sempre la cosa giusta.
Tom worked for almost three hours.|Tom ha lavorato per quasi tre ore.
Tom asked Mary to turn on the light.|Tom chiese a Mary di accendere la luce.
Today I have a lot of things to do.|Oggi ho molte cose da fare.
It'll take us hours to finish this.|Noi impiegheremo ore a finire questo.
I need to put the children to bed.|Devo mettere i bambini a letto.
You should be ready for the worst.|Lei dovrebbe essere pronto al peggio.
Tom is still a member of our club.|Tom è ancora un membro nel nostro club.
Tom made a very interesting comment.|Tom fece un commento molto interessante.
Do you know how to play the piano?|Sai suonare il piano?
Tom cut down the tree with an ax.|Tom abbatté l'albero con un'ascia.
Tom told Mary he'd be right back.|Tom disse a Maria che sarebbe tornato subito.
Tom took control of the situation.|Tom ha preso il controllo della situazione.
Tom ignored all of Mary's warnings.|Tom ignorò tutti gli avvertimenti di Mary.
Tom gave Mary all the money he had.|Tom ha dato a Mary tutti i soldi che aveva.
Is there any food you don't like?|C'è del cibo che non le piace?
We lost almost all our away games.|Abbiamo perso quasi tutte le partite in trasferta.
You haven't met Tom yet, have you?|Non ha ancora conosciuto Tom, vero?
Tom and Mary broke up last month.|Tom e Mary si sono lasciati il mese scorso.
I've just started learning French.|Io ho appena iniziato a imparare il francese.
Tom is just pretending to be asleep.|Tom sta soltanto fingendo di dormire.
I'd like a room facing the garden.|Vorrei una stanza che si affacci sul giardino.
Will you translate this into French?|Tradurrai questa in francese?
I want you to go to the post office.|Voglio che tu vada all'ufficio postale.
We encountered many difficulties.|Abbiamo incontrato molte difficoltà.
Tom didn't have much money with him.|Tom non aveva molti soldi con sé.
Sometimes a cigar is just a cigar.|A volte un sigaro è solo un sigaro.
Tom told me to speak more slowly.|Tom mi disse di parlare più lentamente.
Leave your message after the beep.|Lasci il suo messaggio dopo il beep.
Please don't do anything dangerous.|Per favore, non fate niente di pericoloso.
Can't you wait just ten more minutes?|Non potete aspettare solo altri dieci minuti?
Would you like me to proofread this?|Vorrebbe che controllassi questa?
Do you want to go shopping with me?|Volete andare a fare la spesa con me?
I am tired and I want to go to bed.|Io sono stanca e voglio andare a letto.
Some boys came into the classroom.|Alcuni ragazzi sono entrati in classe.
Tom has no classes at all on Monday.|Tom non ha alcuna lezione al lunedì.
We're waiting for you to help us.|Stiamo aspettando che ci aiutiate.
The hunter was skinning the deer.|Il cacciatore stava scuoiando il cervo.
Tom bought a car using his savings.|Tom ha comprato un'automobile usando i suoi risparmi.
Is Tom really going to tell Mary?|Tom lo dirà davvero a Mary?
I'm not expecting you to help us.|Io non mi sto aspettando che lei ci aiuti.
I'm reading a book about animals.|Io sto leggendo un libro sugli animali.
Tom wants to continue working here.|Tom vuole continuare a lavorare qua.
How would you analyze the situation?|Voi come analizzereste la situazione?
I spent almost a week in Australia.|Ho trascorso quasi una settimana in Australia.
Tom is the one who knows what to do.|Tom è l'unico che sa cosa fare.
It wasn't easy for me to do that.|Non era facile per me farlo.
Stop blaming him for your mistakes.|Smettila di incolparlo per i tuoi errori.
She went to Italy to learn Italian.|È andata in Italia per imparare l'italiano.
Tom gave us everything we needed.|Tom ci ha dato tutto quello di cui avevamo bisogno.
Tom sees this in a different way.|Tom lo vede in modo diverso.
You're pulling my leg, aren't you?|Mi state prendendo in giro, vero?
I'm telling you it's going to be OK.|Ti sto dicendo che andrà bene.
An F-14 is a U.S. Air Force plane.|L'F-14 è un aeroplano della U.S. Air Force.
A DNA test proved he was innocent.|Un test del DNA dimostrò che era innocente.
I have nothing to be worried about.|Non ho niente di cui essere preoccupato.
I can't sleep with all this noise.|Io non riesco a dormire con tutto questo rumore.
I'm dying to learn more about you.|Io sto morendo dalla voglia di imparare più cose su di te.
Tom is the only one with a camera.|Tom è l'unico con una macchina fotografica.
I'd rather be at home watching TV.|Io preferirei essere a casa a guardare la televisione.
How long did it take to fix the car?|Quanto c'è voluto per riparare l'auto?
Tom is three years older than Mary.|Tom ha tre anni in più di Mary.
I'm going back to Boston tomorrow.|Io torno a Boston domani.
You remember it better than I do.|Tu te lo ricordi meglio di me.
I think Tom kissed Mary yesterday.|Penso che Tom abbia baciato Mary ieri.
My client isn't saying another word.|Il mio cliente non dice un'altra parola.
They say this old house is haunted.|Dicono che questa vecchia casa sia infestata.
I have an interest in photography.|Sono interessato alla fotografia.
I knew you weren't from around here.|Lo sapevo che non eravate di queste parti.
Tom and Mary were both very busy.|Tom e Mary erano entrambi molto occupati.
You haven't answered my question.|Non ha risposto alla mia domanda.
Tom got off at the wrong station.|Tom scese alla stazione sbagliata.
I'm getting used to eating alone.|Io mi sto abituando a mangiare da sola.
That's a matter of prime importance.|Quello è un problema di primaria importanza.
What happened to Tom? Is he dead?|Cos'è successo a Tom? È morto?
I thought we were on the same side.|Pensavo che fossimo dalla stessa parte.
I think your dreams are achievable.|Penso che i tuoi sogni siano raggiungibili.
Wake me up early tomorrow morning.|Mi svegli presto domattina.
Tom got into the elevator with Mary.|Tom salì in ascensore con Mary.
Which of these suitcases is Tom's?|Quale di queste valigie è di Tom?
Is this the car Tom told us about?|Questa è la macchina di cui ci ha detto Tom?
The automobile has changed our life.|L'automobile ha cambiato la nostra vita.
I thought doing this would be easy.|Pensavo che fare questo sarebbe stato facile.
Tom's behavior has improved a lot.|Il comportamento di Tom è migliorato molto.
Tom showed us his mother's picture.|Tom ci mostrò la foto di sua madre.
I would like to have some more tea.|Mi piacerebbe avere un altro po' di tè.
I'd love to go back to Australia.|Io amerei tornare in Australia.
People don't always act rationally.|Non sempre le persone agiscono ragionevolmente.
I think we should repaint this room.|Penso che dovremmo ridipingere questa stanza.
Can you turn on the air conditioning?|Potete accendere l'aria condizionata?
They said I was their best worker.|Hanno detto che io ero il loro operaio migliore.
Tom was killed by a drunk driver.|Tom è stato ucciso da un guidatore ubriaco.
He clutched his wallet in his hand.|Lui stringeva forte in mano il portafoglio.
Sometimes it's better not to know.|A volte è meglio non conoscere.
Next year I want to learn French.|L'anno prossimo voglio imparare il francese.
She gave him something hot to drink.|Gli ha dato qualcosa di caldo da bere.
You don't need to worry about me.|Voi non vi dovete preoccupare per me.
Tom doesn't like to stay at home.|A Tom non piace stare a casa.
Tom recommended an investigation.|Tom ha consigliato un'indagine.
Marilyn Monroe died 33 years ago.|Marilyn Monroe è morta 33 anni fa.
I was in Australia for three months.|Io sono stato in Australia per tre mesi.
How many schools have you gone to?|In quante scuole siete andate?
Do you think we should raise prices?|Tu pensi che dovremmo alzare i prezzi?
Tom always seems to be enthusiastic.|Tom sembra sempre essere entusiasta.
I just bought myself a new jacket.|Mi sono appena comprato una nuova giacca.
Don't speak ill of your classmates.|Non parli male dei suoi compagni di classe.
I think we should reduce the price.|Penso che dovremmo ridurre il prezzo.
Tom told me the story of his life.|Tom mi raccontò la storia della sua vita.
I ought to have told her the truth.|Io avrei dovuto dirle la verità.
Why don't you to do that right away?|Perché non lo fate subito?
I haven't bought anything recently.|Io non ho comprato niente di recente.
Tom often goes there to play chess.|Tom va spesso lì a giocare a scacchi.
Do you think English is difficult?|Tu pensi che l'inglese sia difficile?
Tom doesn't have to pay anything.|Tom non deve pagare nulla.
I don't want my son to be like you.|Io non voglio che mio figlio sia come te.
Tom drove to Boston to meet Mary.|Tom ha guidato fino a Boston per incontrare Mary.
Something's really bothering Tom.|Qualcosa sta veramente infastidendo Tom.
Tom didn't make it to Mary's party.|Tom non ce la fece ad arrivare alla festa di Mary.
There is some coal in the stream.|C'è del carbone nel flusso.
Tom apologized to us for being late.|Tom si scusò con noi per essere in ritardo.
Tom helped Mary escape from prison.|Tom ha aiutato Mary a fuggire di prigione.
I had trouble sleeping last night.|Ho avuto dei problemi a dormire la scorsa notte.
The perfume bottle has a blue cap.|La bottiglia di profumo ha un tappo blu.
If I had wings, I would fly to you.|Se io avessi le ali, volerei verso di te.
What do you say to a game of chess?|Che ne dici di una partita a scacchi?
You still want to win, don't you?|Vuole ancora vincere, vero?
Are you sure this is Tom's suitcase?|È sicura che questa sia la valigia di Tom?
I am glad that you have helped me.|Sono contento che tu mi abbia aiutato.
Can you bring me the bill, please?|Mi potete portare il conto, per piacere?
Tom is still on the team, isn't he?|Tom è ancora nella squadra, vero?
Aren't you busy tomorrow afternoon?|Non siete impegnati domani pomeriggio?
Where do you usually buy your shoes?|Dove compra di solito le sue scarpe?
Is Tom still planning to do that?|Tom ha ancora intenzione di farlo?
Why are you so sure Tom is wrong?|Perché è così sicuro che Tom si sbagli?
That's the last I heard from Tom.|È l'ultima cosa che ho sentito da Tom.
Please don't do anything dangerous.|Per favore, non fare nulla di pericoloso.
I don't always wear a tie to work.|Non indosso sempre una cravatta al lavoro.
Tom said he was too tired to dance.|Tom disse che era troppo stanco per danzare.
Tom is a soccer player, isn't he?|Tom è un calciatore, vero?
Do you really want to quit school?|Vuole davvero abbandonare la scuola?
The bamboo gave but did not break.|Il bambù ha ceduto ma non si è spezzato.
Tom asked me if I studied French.|Tom mi ha chiesto se studiavo il francese.
Tom has just started kindergarten.|Tom ha appena cominciato l'asilo.
I'm the tallest one in the class.|Io sono il più alto della classe.
What movies have you seen recently?|Che film hai visto di recente?
The general inspected the troops.|Il generale ispezionò le truppe.
Tom put his arm around Mary's waist.|Tom ha messo il braccio attorno alla vita di Mary.
Why doesn't he have anything to say?|Come mai lui non ha niente da dire?
Why weren't you here this afternoon?|Perché non eravate qua questo pomeriggio?
He was not allowed to remain silent.|A lui non era permesso di restare in silenzio.
It's your turn to wash the dishes.|Tocca a te lavare i piatti.
Do you mind my sitting next to you?|Ti dispiace se mi siedo di fianco a te?
They didn't even know what to do.|Loro non sapevano nemmeno che fare.
Tom sent Mary a three-page letter.|Tom ha spedito a Mary una lettera di tre pagine.
Tom doesn't seem so busy, does he?|Tom non sembra così impegnato, vero?
Tom and Mary both like old movies.|Sia a Tom che a Mary piacciono i film vecchi.
We don't have that model in stock.|Noi non abbiamo quel modello in magazzino.
He said that Tokyo is a safe city.|Ha detto che Tokyo è una città sicura.
Tom didn't have any friends here.|Tom non aveva amici qui.
When I grow up, I want to be a king.|Quando sarò grande, voglio essere un re.
Apparently, Tom is stuck in traffic.|Apparentemente, Tom è bloccato nel traffico.
You're definitely smarter than Tom.|Voi siete sicuramente più intelligenti di Tom.
Tom is unlikely to be here today.|È improbabile che Tom sia qui oggi.
Give him the benefit of the doubt.|Gli dia il beneficio del dubbio.
The city wants to extend the road.|La città vuole prolungare la strada.
I've known Tom for almost ten years.|Conosco Tom da quasi dieci anni.
The meeting took place yesterday.|Il convegno ha avuto luogo ieri.
He earns half a million yen a month.|Lui guadagna mezzo milione di yen al mese.
Do you know a man named Tom Jackson?|Tu conosci un uomo chiamato Tom Jackson?
Tom is the son of a very rich man.|Tom è il figlio di un uomo molto ricco.
What'll you be doing this summer?|Lei cosa farà questa estate?
You're acting like a three-year-old.|Ti stai comportando come un bambino di tre anni.
What language is spoken in France?|Che lingua si parla in Francia?
Tom and Mary have already graduated.|Tom e Mary si sono già laureati.
Tom changed into his school uniform.|Tom si mise l'uniforme scolastica.
P, B, and M are bilabial consonants.|P, B ed M sono consonanti bilabiali.
Tom just wants to be your friend.|Tom vuole soltanto essere tuo amico.
We chose a hotel near the subway.|Noi abbiamo scelto un albergo vicino alla metropolitana.
What do you eat on Christmas Day?|Tu cosa mangi il giorno di Natale?
I called you because I need a favor.|Ti ho chiamata perché ho bisogno di un favore.
A DNA test showed she was innocent.|Un test del DNA mostrò che lei era innocente.
Tom still doesn't speak much French.|Tom continua a non parlare molto in francese.
I'd like to do something different.|A me piacerebbe fare qualcosa di diverso.
I heard Tom won't do that tomorrow.|Ho sentito che Tom non lo farà domani.
I can't raise our child by myself.|Io non posso crescere nostra figlia da solo.
I'm hoping Tom will be here today.|Sto sperando che Tom sarà qui oggi.
Tom and I have nothing in common.|Tom e io non abbiamo niente in comune.
I don't want to live where I work.|Io non voglio vivere dove lavoro.
What are you hiding in your turban?|Che cosa stai nascondendo nel tuo turbante?
Something is wrong with my watch.|C'è qualche problema con il mio orologio.
Can you tell me why Tom isn't here?|Puoi dirmi perché Tom non è qui?
Tom would be perfect for this job.|Tom sarebbe perfetto per questo impiego.
There's ice cream in the freezer.|C'è del gelato nel freezer.
You don't practice what you preach.|Tu non metti in pratica quello che predichi.
Many citizens enlisted in the army.|Molti cittadini si sono arruolati nell'esercito.
Tom asked me to take him to the zoo.|Tom mi ha chiesto di portarlo allo zoo.
Tom got bored after three minutes.|Tom si è annoiato dopo tre minuti.
Do you want me to leave Tom alone?|Vuole che lasci Tom da solo?
I thought that you hated red wine.|Pensavo odiasse il vino rosso.
Why won't Tom tell Mary anything?|Perché Tom non dirà niente a Mary?
The general inspected the troops.|Il generale ha ispezionato le truppe.
I liked Tom better with longer hair.|Preferivo Tom con i capelli lunghi.
I almost always do that by myself.|Io lo faccio quasi sempre da solo.
Someone has left a bag on the bench.|Qualcuno ha lasciato una borsa sulla panchina.
Do you want to get us both killed?|Ci vuoi uccidere entrambe?
The dress is absolutely gorgeous.|L'abito è assolutamente stupendo.
Tom is prepared for any emergency.|Tom è preparato per qualsiasi emergenza.
Is everything ready for tomorrow?|È tutto pronto per domani?
This is the letter for my friend.|Questa è la lettera per la mia amica.
You were always a little strange.|Eri sempre un po' strano.
Who was that man waiting outside?|Chi era quell'uomo che stava aspettando di fuori?
I'm still trying to get used to it.|Io sto ancora provando ad abituarmici.
She invited her friends to dinner.|Invitò i suoi amici a cena.
To be honest, I don't understand it.|Ad essere onesti, non lo capisco.
Will you buy for me some saffron?|Mi compra dello zafferano?
I don't want to hear your excuses.|Non voglio sentire le sue scuse.
You're the only one who can help me.|Tu sei l'unico che può aiutarmi.
The old man lived there by himself.|Il vecchio viveva lì da solo.
These light bulbs can't all be bad.|Queste lampadine non possono essere tutte scadenti.
What my mother had said was true.|Quello che aveva detto mia madre era vero.
Tom and I had a lot of fun together.|Io e Tom ci divertimmo molto assieme.
Tom couldn't sing the high notes.|Tom non poteva cantare le note alte.
That's too good a story to be true.|Quella storia è troppo buona per essere vera.
Tom appears to be stalling for time.|Sembra che Tom stia cercando di guadagnare tempo.
I can't think of life without you.|Non riesco a pensare alla vita senza di te.
Air is a mixture of several gases.|L'aria è una miscela di diversi gas.
Please tell us when dinner's ready.|Per favore, dicci quando è pronta la cena.
Take care not to break the glasses.|Fai attenzione a non rompere gli occhiali.
Tom unlocked the door and went in.|Tom ha aperto la porta ed è entrato.
He abandoned his wife and children.|Ha abbandonato sua moglie e i suoi figli.
Tom said he learned a lot from Mary.|Tom disse che imparò molto da Mary.
Tom and Mary were also in the room.|Anche Tom e Mary erano nella stanza.
These things only happen in Sweden.|Queste cose succedono solo in Svezia.
Let me have a little chat with Tom.|Lascia che faccia una piccola chiacchierata con Tom.
I reached Nagoya early this morning.|Io sono arrivato a Nagoya stamattina presto.
When's the last time you showered?|Quando è stata l'ultima volta che ti sei fatta una doccia?
Why are you dressed like an old man?|Perché sei vestito come un anziano?
You aren't welcome in this house.|Non siete i benvenuti in questa casa.
I wanted to go back to your village.|Io volevo tornare al suo villaggio.
Tom is going to fix Mary's bicycle.|Tom riparerà la bicicletta di Mary.
Tom is embarrassed by what he did.|Tom è imbarazzato da quello che ha fatto.
I'm ready to do anything for you.|Sono pronta a fare qualunque cosa per voi.
You're supposed to be downstairs.|Devi essere di sotto.
Things aren't getting any better.|Le cose non stanno migliorando in alcun modo.
Tom is an unemployed security guard.|Tom è una guardia di sicurezza disoccupata.
I should've paid closer attention.|Avrei dovuto prestare più attenzione.
What kind of music do you listen to?|Che tipo di musica ascolti?
There's something I still don't get.|C'è qualcosa che ancora non capisco.
Tom isn't going to help you do that.|Tom non la aiuterà a farlo.
My mother doesn't like watching TV.|A mia madre non piace guardare la TV.
I would like to have some more tea.|Io vorrei avere un altro po' di tè.
I won't be doing that this summer.|Io non lo farò questa estate.
I don't think Tom is schizophrenic.|Non penso che Tom sia schizofrenico.
He is the best player on our team.|Lui è il miglior giocatore della nostra squadra.
It would cost twice as much as that.|Costerebbe il doppio.
Tom wasn't in a hurry to get home.|Tom non aveva fretta di arrivare a casa.
He spent the evening reading a book.|Lui ha passato la serata a leggere un libro.
There are some books on the desk.|Ci sono alcuni libri sulla scrivania.
I'm really disappointed in you, Tom.|Sono veramente delusa da te, Tom.
Tom speaks French better than I do.|Tom parla francese meglio di me.
You have to change before the party.|Si deve cambiare prima della festa.
Tom and Mary got home by themselves.|Tom e Mary sono andati a casa da soli.
Do you know something I don't know?|Sai qualcosa che io non so?
Hurry up, or you'll miss your plane.|Sbrigati o perderai l'aereo.
I used to have a friend named Tom.|Avevo un amico che si chiamava Tom.
Why do you want to become a doctor?|Perché vuoi diventare un dottore?
We're meeting Tom in three hours.|Noi conosciamo Tom tra tre ore.
Tom refused to execute the order.|Tom si rifiutò di eseguire l'ordine.
Tom will not want to be disturbed.|Tom non vorrà essere disturbato.
Is it true you're moving to Boston?|È vero che ti stai trasferendo a Boston?
How long did it take to fix the car?|Quanto c'è voluto per riparare l'automobile?
We were all present at the party.|Eravamo tutti presenti alla festa.
Tom went to Boston with a friend.|Tom andò a Boston con un amico.
He speaks as if he knew everything.|Lui parla come se sapesse tutto.
Do you think that you can handle it?|Pensa di riuscire a gestirlo?
She poured brandy into the glasses.|Ha versato del brandy nei bicchieri.
My sister and I went to the castle.|Io e mia sorella andammo al castello.
Tom put the dishes in the dishwater.|Tom mise i piatti in lavastoviglie.
Tom and Mary must be happy together.|Tom e Mary devono essere felici assieme.
I don't know why I have to do this.|Non so perché devo fare ciò.
I no longer have the energy to talk.|Non ho più l'energia per parlare.
If I don't do it now, I never will.|Se non la faccio ora, non la farò mai.
Tom is going to be absent tomorrow.|Tom sarà assente domani.
I haven't seen my sister for years.|Non vedo mia sorella da anni.
See if there's juice in the fridge.|Guardi se c'è del succo in frigo.
That's the way Tom always does it.|Quello è il modo in cui la fa sempre Tom.
That bus will take you to the zoo.|Quell'autobus la porterà allo zoo.
I'm busy getting ready for tomorrow.|Sono impegnato a prepararmi per domani.
Why don't you write it in French?|Perché non lo scrivi in francese?
The paper didn't carry the story.|Il giornale non ha comunicato la storia.
He talks as if he knows everything.|Lui parla come se conoscesse tutto.
He teaches English to his friends.|Lui insegna inglese ai suoi amici.
There is a dragonfly on the ceiling.|C'è una libellula sul soffitto.
I'm the one who gave Tom that scarf.|Sono quello che ha dato quella sciarpa a Tom.
That's what I wanted to talk about.|È quello di cui volevo parlare.
I want to have a part-time job, too.|Anche io voglio avere un impiego part-time.
When will you give me your answer?|Quando mi darete la vostra risposta?
I'm afraid I don't agree with you.|Temo di non essere d'accordo con te.
Tom doesn't actually live in Boston.|Tom in realtà non abita a Boston.
He grasped the rope with two hands.|Lui ha afferrato la corda con due mani.
Tom is doing that, but Mary isn't.|Tom lo sta facendo, però Mary no.
I haven't seen Tom in a long time.|Non vedo Tom da molto tempo.
Our teacher made us work in groups.|Il nostro insegnante ci fece lavorare in gruppo.
You're Tom's daughter, aren't you?|Tu sei la figlia di Tom, vero?
Don't talk to my sister like that.|Non parlare così con mia sorella.
Have you told your parents about us?|Hai detto ai tuoi genitori di noi?
The situation hasn't changed at all.|La situazione non è cambiata per niente.
We managed to swim across the river.|Noi siamo riusciti ad attraversare a nuoto il fiume.
Tom must've thought you were dead.|Tom deve avere pensato che foste morte.
Have you searched the entire house?|Ha cercato in tutta la casa?
Tom is usually at home on Sundays.|Tom solitamente è a casa la domenica.
You don't forget your first love.|Voi non dimenticate il vostro primo amore.
Tom came home crying after school.|Tom è venuto a casa in lacrime dopo la scuola.
She doesn't want to talk about it.|Lei non ne vuole parlare.
Tom has never been kissed by Mary.|Tom non è mai stato baciato da Mary.
Tom and I are about the same age.|Io e Tom abbiamo circa la stessa età.
Many people are against the bill.|Molta gente è contraria al disegno di legge.
I know everyone is waiting for me.|So che mi stanno aspettando tutti.
Tom didn't give me what I asked for.|Tom non mi diede quello che chiesi.
I've got a lot to learn from you.|Io ho molto da imparare da voi.
Would you like to be an elephant?|Le piacerebbe essere un elefante?
Would you like to talk to a lawyer?|Vorresti parlare con un avvocato?
Tom worked as a physical therapist.|Tom lavorava come fisioterapista.
I know a guy who has five sisters.|Io conosco un tipo che ha cinque sorelle.
Our dorm's having heater problems.|Il nostro dormitorio ha problemi al riscaldamento.
Would you like something to read?|Vorresti qualcosa da leggere?
He said he wanted to be a scientist.|Ha detto che voleva essere uno scienziato.
It seems like there's no money left.|Sembra che non rimanga denaro.
Are you sure you don't want anything?|Sei sicuro di non volere nulla?
He entered the room after you left.|Lui è entrato nella stanza dopo che ve ne siete andate.
You said it wasn't going to happen.|Hai detto che non sarebbe successo.
I hear from my mother every month.|Io ho notizie di mia madre ogni mese.
What's your favorite Disney movie?|Qual è il suo film Disney preferito?
What makes you think I wrote that?|Cosa vi fa pensare che io lo abbia scritto?
I hope you're enjoying yourselves.|Io spero che vi stiate divertendo.
They're treating me like a child.|Mi stanno trattando come una bambina.
She went to Italy to study music.|Lei è andata in Italia a studiare musica.
It is a lot of fun to drive a car.|È molto divertente guidare un'auto.
You're in better shape than I am.|Tu sei più in forma di me.
Mary said she wanted to marry me.|Mary disse che voleva sposarmi.
How do you know that I didn't do it?|Come sai che non l'ho fatto?
Tom enjoyed himself at the party.|Tom si è divertito alla festa.
Tom wants to talk to you privately.|Tom vuole parlarti in privato.
I'm very sorry that I lied to Tom.|Mi dispiace molto di avere mentito a Tom.
I have a friend who lives on a boat.|Io ho un'amica che vive su una barca.
Are you thinking about getting a job?|State pensando di trovare un lavoro?
Do you like to travel by yourself?|A te piace viaggiare da solo?
Tom didn't feel like playing golf.|Tom non aveva voglia di giocare a golf.
Have you spent much time in Boston?|Voi avete trascorso molto tempo a Boston?
Does Tom make his bed every morning?|Tom si rifà il letto ogni mattina?
Tom has trouble talking to girls.|Tom ha dei problemi a parlare con le ragazze.
Will you be in Boston in October?|Sarai a Boston a ottobre?
Close the window before going to bed.|Chiudi la finestra prima di andare a letto.
I forgot to tell you what to bring.|Ho dimenticato di dirti cosa portare.
I hear from my mother every month.|Ho notizie di mia madre ogni mese.
Tom can run much faster than I can.|Tom riesce a correre molto più veloce di me.
When are you going to quit smoking?|Quando smetterà di fumare?
I've always been afraid of doctors.|Io ho sempre avuto paura dei dottori.
You should go about your business.|Dovreste occuparvi dei vostri affari.
Tom's brothers are still in jail.|I fratelli di Tom sono ancora in galera.
She advised him to become a teacher.|Gli ha consigliato di diventare un professore.
Tom is playing outside with his son.|Tom sta giocando fuori con suo figlio.
I have to go meet Tom at the mall.|Devo andare a incontrarmi con Tom al centro commerciale.
Are you going to tell me your name?|Mi dirà il suo nome?
I'm fed up with this wet weather.|Io mi sono stufato di questo tempo umido.
I like basketball, but I can't play.|Mi piace il basket, ma non ci so giocare.
Tom is leaving next year, isn't he?|Tom parte l'anno prossimo, vero?
Did you ever hear Tom threaten Mary?|Ha mai sentito Tom minacciare Mary?
Tom and Mary plan to get married.|Tom e Mary hanno intenzione di sposarsi.
He transferred his office to Osaka.|Trasferì il suo ufficio a Osaka.
You're shallow and materialistic.|Tu sei superficiale e materialista.
Tom asked Mary if he could kiss her.|Tom chiese a Mary se poteva baciarla.
Has Tom ever asked you to help him?|Tom vi ha mai chiesto di aiutarlo?
I suggest you keep your voices down.|Vi suggerisco di abbassare la voce.
I'm ready to do anything for you.|Io sono pronta a fare qualsiasi cosa per te.
Tom told me he was already married.|Tom mi disse di essere già sposato.
Where in Australia did you grow up?|Dov'è cresciuta in Australia?
This is something I made for Tom.|Questo è qualcosa che ho fatto per Tom.
Who told you I wasn't happy here?|Chi le ha detto che non ero felice qua?
Close your eyes, and count to ten.|Chiuda gli occhi e conti fino a dieci.
Do you really want to be like Tom?|Vuoi davvero essere come Tom?
What should I buy Tom for Christmas?|Che cosa dovrei comprare a Tom per Natale?
We're having a party next Saturday.|Noi faremo una festa sabato prossimo.
Tom told Mary he was ready to go.|Tom disse a Mary che era pronto ad andare.
I had a very bad dream last night.|Io ho fatto un sogno molto brutto la scorsa notte.
I've just arrived at the station.|Sono appena arrivata in stazione.
I don't like living in the country.|A me non piace vivere in campagna.
I studied three months in Beijing.|Ho studiato tre mesi a Pechino.
Many diseases result from poverty.|Molte malattie derivano dalla povertà.
I have nothing to be worried about.|Io non ho niente di cui essere preoccupato.
I want to know what this is called.|Voglio sapere come si chiama questo.
Where did you put the screwdriver?|Dove avete messo il cacciavite?
Have you been busy since yesterday?|È occupato da ieri?
I called you because I need a favor.|L'ho chiamato perché mi serve un favore.
Your blood pressure is very high.|La sua pressione sanguigna è molto alta.
He is the boss's private secretary.|Lui è il segretario privato del capo.
For all her riches, she's not happy.|Nonostante tutte le sue ricchezze, lei non è felice.
Don't worry. It's a common mistake.|Non preoccupatevi. È un errore comune.
The old man spoke to me in French.|Il vecchio uomo mi ha parlato in francese.
We'd like to climb that mountain.|Vorremmo scalare quella montagna.
I told you to be home by midnight.|Le ho detto di essere a casa entro mezzanotte.
I'm an old friend of Tom's father.|Sono un vecchio amico del padre di Tom.
Haven't you washed the dishes yet?|Voi non avete ancora lavato i piatti?
Why do you need me here tomorrow?|Perché avete bisogno di me qua domani?
He kept silent during the meeting.|Lui rimase in silenzio durante la riunione.
Are you sure Tom was at school today?|È sicura che Tom fosse a scuola oggi?
Recently he launched a new business.|Di recente ha avviato una nuova attività.
I was in London most of the summer.|Ero a Londra quasi tutta l'estate.
I'm tired of hearing your excuses.|Sono stanco di sentire le sue scuse.
Things are getting back to normal.|Le cose stanno tornando alla normalità.
Tom thinks you should study French.|Tom pensa che dovrebbe studiare francese.
I should probably apologize to Tom.|Probabilmente dovrei scusarmi con Tom.
I won't be sorry to see Tom leave.|Io non sarò dispiaciuto a vedere Tom partire.
I'm sure they're talking about us.|Sono sicura che loro stanno parlando di noi.
Tom wasn't hurt in the explosion.|Tom non rimase ferito nell'esplosione.
I greatly appreciate your kindness.|Io apprezzo profondamente la tua gentilezza.
Do you see the entrance of the park?|Vedete l'entrata del parco?
Why aren't you eating your sandwich?|Perché non stai mangiando il tuo sandwich?
I'm not staying here another night.|Non resto qui un'altra notte.
My uncle has a deep interest in art.|Mio zio ha un grande interesse per l'arte.
